obs_id,flare_number,start_mjd,end_mjd,duration_s,,rate_mean,rate_mean_err,,rate_max,rate_max_err,,energy_1e37erg,energy_err,,luminosity_1e34,luminosity_err,,flux_1e_minus12,flux_err,,fluence_ct,fluence_err,,hardness_ratio,hardness_ratio_err
22595,1,59386.01508,59386.02591,936,0.093 $\pm$ 0.010,0.093,0.01,0.139 $\pm$ 0.022,0.1392,0.0217,6.542 $\pm$ 0.110,6.5417,0.1097,6.990 $\pm$ 0.117,6.9898,0.1172,8.735 $\pm$ 0.147,8.735,0.1472,87 $\pm$ 0.870,86.9983,0.869983,1.231 $\pm$ 0.265,1.230769231,0.2653281534
22595,2,59386.08527,59386.11595,2650,0.046 $\pm$ 0.004,0.046,0.0042,0.089 $\pm$ 0.017,0.0892,0.0174,7.970 $\pm$ 0.311,7.9696,0.3107,3.007 $\pm$ 0.117,3.0073,0.1172,3.758 $\pm$ 0.147,3.7582,0.1466,121 $\pm$ 0.508,121.0014,0.50820588,1.241 $\pm$ 0.227,1.240740741,0.2269025866
22595,3,59386.13127,59386.18571,4703,0.094 $\pm$ 0.005,0.094,0.0045,0.260 $\pm$ 0.029,0.2598,0.0287,33.110 $\pm$ 0.551,33.1101,0.5514,7.040 $\pm$ 0.117,7.0398,0.1172,8.797 $\pm$ 0.147,8.7974,0.1472,440 $\pm$ 1.980,440,1.98,1.245 $\pm$ 0.119,1.244897959,0.1194090228
15570,1,56225.23011,56225.25830,2436,0.032 $\pm$ 0.004,0.032,0.0036,0.076 $\pm$ 0.016,0.076,0.0155,7.455 $\pm$ 12.728,7.4546,12.7284,3.061 $\pm$ 5.226,3.0606,5.2258,3.825 $\pm$ 6.531,3.8247,6.5305,78 $\pm$ 0.281,78,0.2808,1.672 $\pm$ 0.271,1.672131148,0.2706444562
22937,1,59082.23769,59082.31480,6658,0.017 $\pm$ 0.002,0.017,0.0016,0.037 $\pm$ 0.011,0.0371,0.0107,6.845 $\pm$ 0.261,6.8447,0.2612,1.028 $\pm$ 0.039,1.028,0.0392,1.285 $\pm$ 0.049,1.2846,0.0491,112 $\pm$ 0.179,112,0.1792,1.383 $\pm$ 0.265,1.382978723,0.2648005622
16963,1,57066.24917,57066.25923,869,0.045 $\pm$ 0.007,0.045,0.0073,0.059 $\pm$ 0.015,0.0585,0.0147,2.976 $\pm$ 0.040,2.9763,0.0398,3.425 $\pm$ 0.046,3.4253,0.0458,4.281 $\pm$ 0.058,4.2805,0.0576,39 $\pm$ 0.285,39.0701,0.28521173,2.333 $\pm$ 0.805,2.333333333,0.8050764859
13843,1,56223.37822,56223.47283,8174,0.033 $\pm$ 0.002,0.033,0.002,0.131 $\pm$ 0.020,0.1309,0.0197,25.383 $\pm$ 0.317,25.3829,0.3172,3.105 $\pm$ 0.039,3.1054,0.0388,3.881 $\pm$ 0.049,3.8808,0.0489,269 $\pm$ 0.538,269,0.538,1.672 $\pm$ 0.139,1.672413793,0.1387968884
3393,1,52422.63721,52422.67529,3290,0.080 $\pm$ 0.005,0.080,0.0049,0.355 $\pm$ 0.022,0.3548,0.0224,20.876 $\pm$ 0.088,20.8762,0.0875,6.345 $\pm$ 0.027,6.3446,0.0266,7.929 $\pm$ 0.036,7.9287,0.0355,264 $\pm$ 1.294,264,1.2936,1.779 $\pm$ 0.228,1.778947368,0.2281181852
3393,2,52423.24197,52423.30094,5095,0.031 $\pm$ 0.003,0.031,0.0025,0.101 $\pm$ 0.016,0.1007,0.0162,11.210 $\pm$ 0.136,11.2095,0.1355,2.200 $\pm$ 0.027,2.2001,0.0266,2.749 $\pm$ 0.034,2.7494,0.0335,158 $\pm$ 0.395,158.001,0.3950025,2.038 $\pm$ 0.345,2.038461538,0.3451250326
3393,3,52423.78165,52423.79361,1033,0.057 $\pm$ 0.007,0.057,0.0074,0.079 $\pm$ 0.015,0.0786,0.0147,4.543 $\pm$ 0.028,4.543,0.0275,4.396 $\pm$ 0.027,4.3961,0.0266,5.494 $\pm$ 0.034,5.4936,0.0343,59 $\pm$ 0.437,59.0003,0.43660222,1.458 $\pm$ 0.386,1.458333333,0.3864943641
21456,1,58574.47617,58574.49311,1464,0.031 $\pm$ 0.005,0.031,0.0046,0.052 $\pm$ 0.014,0.052,0.0138,3.258 $\pm$ 0.056,3.2578,0.0564,2.226 $\pm$ 0.039,2.2257,0.0385,2.781 $\pm$ 0.048,2.7814,0.0484,46 $\pm$ 0.212,45.9997,0.21159862,1.300 $\pm$ 0.387,1.3,0.3866522986
16218,1,56950.55216,56950.62667,6437,0.126 $\pm$ 0.004,0.126,0.0044,0.633 $\pm$ 0.044,0.6327,0.0436,65.747 $\pm$ 0.316,65.7471,0.3163,10.213 $\pm$ 0.049,10.2133,0.0491,12.763 $\pm$ 0.065,12.7632,0.0647,811 $\pm$ 3.568,811,3.5684,1.511 $\pm$ 0.108,1.510835913,0.1083718668
14943,1,56582.66656,56582.67927,1098,0.020 $\pm$ 0.005,0.020,0.0046,0.029 $\pm$ 0.011,0.029,0.011,1.374 $\pm$ 0.060,1.3737,0.0597,1.251 $\pm$ 0.054,1.2508,0.0544,1.563 $\pm$ 0.068,1.563,0.068,22 $\pm$ 0.100,21.7104,0.09986784,0.786 $\pm$ 0.317,0.7857142857,0.3165733073
25297,1,59658.33743,59658.41349,6572,0.015 $\pm$ 0.002,0.015,0.0015,0.040 $\pm$ 0.012,0.0397,0.012,5.552 $\pm$ 0.365,5.5519,0.3648,0.845 $\pm$ 0.056,0.8447,0.0555,1.056 $\pm$ 0.069,1.0557,0.0694,95 $\pm$ 0.142,94.9996,0.1424994,0.939 $\pm$ 0.193,0.9387755102,0.1927287916
14944,1,56555.46190,56555.48542,2033,0.018 $\pm$ 0.003,0.018,0.0033,0.035 $\pm$ 0.012,0.0354,0.0122,2.276 $\pm$ 0.138,2.2756,0.1382,1.120 $\pm$ 0.068,1.1196,0.068,1.399 $\pm$ 0.085,1.3991,0.085,36 $\pm$ 0.118,35.8671,0.11836143,0.957 $\pm$ 0.285,0.9565217391,0.2852501249
16217,1,56899.48990,56899.54752,4978,0.017 $\pm$ 0.002,0.017,0.0019,0.039 $\pm$ 0.012,0.0388,0.0122,5.547 $\pm$ 0.204,5.5473,0.2038,1.114 $\pm$ 0.041,1.1143,0.0409,1.393 $\pm$ 0.051,1.3925,0.0512,87 $\pm$ 0.165,86.7345,0.16479555,1.136 $\pm$ 0.235,1.136363636,0.2348929132
23739,1,59425.00191,59425.04771,3957,0.093 $\pm$ 0.005,0.093,0.0049,0.500 $\pm$ 0.038,0.4997,0.0375,29.211 $\pm$ 0.187,29.2109,0.1868,7.382 $\pm$ 0.047,7.3823,0.0472,9.226 $\pm$ 0.061,9.2255,0.0608,369 $\pm$ 1.808,369,1.8081,1.580 $\pm$ 0.169,1.58041958,0.1688742162
15045,1,56593.67151,56593.69812,2299,0.030 $\pm$ 0.004,0.030,0.0037,0.041 $\pm$ 0.013,0.0411,0.0127,4.713 $\pm$ 0.098,4.7133,0.0977,2.050 $\pm$ 0.043,2.0498,0.0425,2.562 $\pm$ 0.053,2.5616,0.0533,68 $\pm$ 0.251,67.7888,0.25081856,1.176 $\pm$ 0.274,1.176470588,0.2744274057
15045,2,56593.82750,56593.83845,946,0.028 $\pm$ 0.006,0.028,0.0057,0.041 $\pm$ 0.013,0.0409,0.0127,1.817 $\pm$ 0.040,1.8173,0.0402,1.920 $\pm$ 0.043,1.9202,0.0425,2.400 $\pm$ 0.053,2.3996,0.0533,26 $\pm$ 0.151,26.4448,0.15073536,1.636 $\pm$ 0.626,1.636363636,0.6262478152
5953,1,53581.92696,53581.95554,2469,0.042 $\pm$ 0.004,0.042,0.0041,0.089 $\pm$ 0.016,0.0888,0.0155,7.704 $\pm$ 0.078,7.704,0.0776,3.121 $\pm$ 0.031,3.1207,0.0314,3.900 $\pm$ 0.040,3.8998,0.0398,104 $\pm$ 0.426,104.0011,0.42640451,1.311 $\pm$ 0.259,1.311111111,0.2594919591
15042,1,56516.35777,56516.48754,11212,0.016 $\pm$ 0.001,0.016,0.0013,0.049 $\pm$ 0.014,0.0486,0.014,10.867 $\pm$ 0.478,10.8672,0.4776,0.969 $\pm$ 0.043,0.9692,0.0426,1.211 $\pm$ 0.053,1.2112,0.0533,179 $\pm$ 0.232,178.7952,0.23243376,0.974 $\pm$ 0.130,0.9736842105,0.1298361029
1561,1,51844.10515,51844.11288,668,0.033 $\pm$ 0.007,0.033,0.007,0.040 $\pm$ 0.011,0.0398,0.0112,1.558 $\pm$ 0.033,1.5581,0.0327,2.334 $\pm$ 0.049,2.3338,0.049,2.917 $\pm$ 0.061,2.9165,0.0614,22 $\pm$ 0.154,22.0006,0.1540042,1.200 $\pm$ 0.514,1.2,0.5138093031
1561,2,51844.15817,51844.27951,10484,0.064 $\pm$ 0.003,0.064,0.0025,0.367 $\pm$ 0.023,0.3671,0.0226,52.128 $\pm$ 0.514,52.1277,0.5136,4.972 $\pm$ 0.049,4.9722,0.049,6.214 $\pm$ 0.062,6.2136,0.062,674 $\pm$ 1.685,674,1.685,1.893 $\pm$ 0.153,1.892703863,0.1532905426
18731,1,57581.95206,57581.96252,904,0.035 $\pm$ 0.006,0.035,0.0063,0.064 $\pm$ 0.015,0.064,0.0152,2.276 $\pm$ 0.021,2.2764,0.0212,2.519 $\pm$ 0.024,2.5186,0.0235,3.147 $\pm$ 0.030,3.1474,0.0298,32 $\pm$ 0.202,31.9986,0.20159118,1.462 $\pm$ 0.526,1.461538462,0.5260617934
3663,1,52418.80112,52418.85593,4735,0.021 $\pm$ 0.002,0.021,0.0021,0.047 $\pm$ 0.012,0.0472,0.0117,6.256 $\pm$ 0.190,6.2563,0.19,1.321 $\pm$ 0.040,1.3212,0.0401,1.651 $\pm$ 0.050,1.6511,0.0502,101 $\pm$ 0.212,100.9999,0.21209979,1.730 $\pm$ 0.357,1.72972973,0.3572301351
14392,1,55966.43002,55966.45449,2114,0.021 $\pm$ 0.003,0.021,0.0032,0.039 $\pm$ 0.011,0.039,0.0112,3.481 $\pm$ 0.134,3.4806,0.1337,1.646 $\pm$ 0.063,1.6463,0.0632,2.057 $\pm$ 0.079,2.0574,0.0791,45 $\pm$ 0.144,45.0004,0.14400128,1.474 $\pm$ 0.253,1.473684211,0.2528930626
14392,2,55966.59864,55966.66394,5642,0.132 $\pm$ 0.005,0.132,0.0048,0.374 $\pm$ 0.029,0.374,0.0291,82.819 $\pm$ 0.357,82.8194,0.3567,14.680 $\pm$ 0.063,14.68,0.0632,18.345 $\pm$ 0.084,18.3451,0.0842,744 $\pm$ 3.571,744,3.5712,1.913 $\pm$ 0.125,1.912921348,0.1251088227
15043,1,56549.08525,56549.14935,5538,0.501 $\pm$ 0.010,0.501,0.0095,1.901 $\pm$ 0.062,1.9012,0.0622,230.797 $\pm$ 0.233,230.7965,0.2331,41.674 $\pm$ 0.042,41.6739,0.0421,52.079 $\pm$ 0.098,52.0786,0.0979,2775 $\pm$ 26.363,2775,26.3625,1.731 $\pm$ 0.068,1.731299213,0.06822190645
5952,1,53581.08914,53581.15574,5754,0.017 $\pm$ 0.002,0.017,0.0017,0.040 $\pm$ 0.011,0.0402,0.0112,5.772 $\pm$ 0.234,5.7715,0.2338,1.003 $\pm$ 0.041,1.0031,0.0406,1.254 $\pm$ 0.051,1.2535,0.0508,97 $\pm$ 0.165,96.9998,0.16489966,0.940 $\pm$ 0.191,0.94,0.1909764383
20751,1,58715.15696,58715.22626,5987,0.193 $\pm$ 0.006,0.193,0.0057,0.897 $\pm$ 0.049,0.8974,0.0493,94.743 $\pm$ 0.274,94.7433,0.2743,15.825 $\pm$ 0.046,15.8251,0.0458,19.776 $\pm$ 0.065,19.7761,0.0653,1154 $\pm$ 6.578,1154,6.5778,1.542 $\pm$ 0.093,1.54185022,0.09291121623
14427,1,56054.10112,56054.15898,4999,0.020 $\pm$ 0.002,0.020,0.002,0.035 $\pm$ 0.011,0.0348,0.0107,8.227 $\pm$ 0.274,8.2269,0.2737,1.646 $\pm$ 0.055,1.6456,0.0548,2.057 $\pm$ 0.069,2.0565,0.0685,99 $\pm$ 0.198,99,0.198,1.593 $\pm$ 0.183,1.593495935,0.1833013696
14427,2,56054.47212,56054.49750,2192,0.019 $\pm$ 0.003,0.019,0.0029,0.035 $\pm$ 0.011,0.0348,0.0107,3.323 $\pm$ 0.120,3.323,0.12,1.516 $\pm$ 0.055,1.5156,0.0548,1.894 $\pm$ 0.069,1.894,0.0685,41 $\pm$ 0.119,40.9992,0.11889768,1.544 $\pm$ 0.262,1.543859649,0.2624901758
13857,1,56003.66968,56003.67605,550,0.035 $\pm$ 0.008,0.035,0.0079,0.047 $\pm$ 0.012,0.0466,0.0117,1.785 $\pm$ 0.035,1.7853,0.0347,3.247 $\pm$ 0.063,3.2474,0.0632,4.058 $\pm$ 0.079,4.0581,0.0792,19 $\pm$ 0.150,19.0011,0.15010869,2.643 $\pm$ 0.829,2.642857143,0.8292660705
23666,1,59315.56742,59315.57510,664,0.030 $\pm$ 0.007,0.030,0.0067,0.044 $\pm$ 0.013,0.0439,0.0127,1.380 $\pm$ 0.026,1.3796,0.0264,2.079 $\pm$ 0.040,2.0789,0.0398,2.598 $\pm$ 0.050,2.5979,0.0499,20 $\pm$ 0.134,20.0013,0.13400871,1.857 $\pm$ 0.871,1.857142857,0.8706420003
13851,1,56217.81226,56217.87427,5358,0.076 $\pm$ 0.004,0.076,0.0038,0.221 $\pm$ 0.025,0.2205,0.0248,44.509 $\pm$ 0.191,44.5089,0.1909,8.307 $\pm$ 0.036,8.3067,0.0356,10.381 $\pm$ 0.048,10.3806,0.0475,408 $\pm$ 1.550,408,1.5504,1.841 $\pm$ 0.152,1.840707965,0.1521078125
