obs_id,flare_number,start_mjd,end_mjd,duration_s,,rate_mean,rate_mean_err,,rate_max,rate_max_err,,energy_1e37erg,energy_err,,luminosity_1e34,luminosity_err,,flux_1e_minus12,flux_err,,fluence_ct,fluence_err,,hardness_ratio,hardness_ratio_err
20346,1,58232.20941,58232.24803,3336,0.116 $\pm$ 0.006,0.116,0.0059,0.323 $\pm$ 0.033,0.3229,0.0327,31.448 $\pm$ 0.116,31.4483,0.1159,9.426 $\pm$ 0.035,9.426,0.0347,11.779 $\pm$ 0.047,11.7794,0.0473,388 $\pm$ 2.289,388,2.2892,1.296 $\pm$ 0.133,1.295857988,0.1326807334
6363,1,53933.24903,53933.28037,2707,0.056 $\pm$ 0.005,0.056,0.0045,0.138 $\pm$ 0.018,0.1378,0.0179,11.664 $\pm$ 0.105,11.6636,0.1051,4.308 $\pm$ 0.039,4.308,0.0388,5.384 $\pm$ 0.049,5.3836,0.0492,151 $\pm$ 0.680,151,0.6795,2.595 $\pm$ 0.471,2.595238095,0.4713329343
21454,1,58572.24991,58572.26526,1326,0.106 $\pm$ 0.009,0.106,0.0089,0.218 $\pm$ 0.027,0.2176,0.0273,11.044 $\pm$ 0.070,11.0437,0.0703,8.327 $\pm$ 0.053,8.3265,0.053,10.405 $\pm$ 0.068,10.4054,0.0683,140 $\pm$ 1.246,140,1.246,1.692 $\pm$ 0.296,1.692307692,0.2960058802
21454,2,58572.45978,58572.47792,1568,0.044 $\pm$ 0.005,0.044,0.0053,0.122 $\pm$ 0.021,0.122,0.0208,4.930 $\pm$ 0.083,4.9301,0.0831,3.145 $\pm$ 0.053,3.1449,0.053,3.930 $\pm$ 0.067,3.9301,0.0666,69 $\pm$ 0.366,69,0.3657,1.654 $\pm$ 0.411,1.653846154,0.4108646256
10556,1,54969.11579,54969.12966,1198,0.041 $\pm$ 0.006,0.041,0.0058,0.059 $\pm$ 0.013,0.0585,0.0131,3.593 $\pm$ 0.035,3.5933,0.0347,2.999 $\pm$ 0.029,2.9985,0.029,3.747 $\pm$ 0.037,3.7471,0.0367,49 $\pm$ 0.284,49.0002,0.28420116,1.450 $\pm$ 0.421,1.45,0.4214558103
10556,2,54969.40842,54969.45006,3598,0.024 $\pm$ 0.003,0.024,0.0026,0.049 $\pm$ 0.012,0.0494,0.0122,5.727 $\pm$ 0.104,5.7265,0.1043,1.592 $\pm$ 0.029,1.5915,0.029,1.989 $\pm$ 0.036,1.9888,0.0364,87 $\pm$ 0.226,86.9999,0.22619974,1.231 $\pm$ 0.265,1.230769231,0.2653281534
10556,3,54969.96547,54969.98552,1732,0.091 $\pm$ 0.007,0.091,0.0072,0.179 $\pm$ 0.019,0.1785,0.0194,12.449 $\pm$ 0.050,12.4492,0.0502,7.187 $\pm$ 0.029,7.1865,0.029,8.981 $\pm$ 0.039,8.9807,0.0389,157 $\pm$ 1.130,156.9966,1.13037552,2.568 $\pm$ 0.456,2.568181818,0.4563625868
10556,4,54970.04082,54970.04763,589,0.085 $\pm$ 0.012,0.085,0.012,0.120 $\pm$ 0.017,0.1203,0.0172,3.948 $\pm$ 0.017,3.9484,0.0171,6.704 $\pm$ 0.029,6.7037,0.029,8.377 $\pm$ 0.039,8.3774,0.0386,50 $\pm$ 0.600,50.0016,0.6000192,1.941 $\pm$ 0.580,1.941176471,0.5795202154
18732,1,57587.62798,57587.65766,2564,0.022 $\pm$ 0.003,0.022,0.0029,0.045 $\pm$ 0.013,0.0445,0.0127,3.709 $\pm$ 0.057,3.7091,0.0569,1.447 $\pm$ 0.022,1.4468,0.0222,1.808 $\pm$ 0.028,1.8081,0.0279,57 $\pm$ 0.165,56.9992,0.16529768,1.036 $\pm$ 0.274,1.035714286,0.2744096499
4684,1,53193.14340,53193.16272,1669,0.067 $\pm$ 0.006,0.067,0.0063,0.134 $\pm$ 0.018,0.134,0.0179,8.504 $\pm$ 0.061,8.5037,0.0608,5.094 $\pm$ 0.036,5.0938,0.0364,6.366 $\pm$ 0.047,6.3655,0.0466,111 $\pm$ 0.699,111.0015,0.69930945,1.921 $\pm$ 0.384,1.921052632,0.3842797722
15041,1,56500.15073,56500.16278,1042,0.031 $\pm$ 0.006,0.031,0.0058,0.040 $\pm$ 0.013,0.0404,0.0127,2.302 $\pm$ 0.052,2.3023,0.0523,2.210 $\pm$ 0.050,2.2103,0.0502,2.762 $\pm$ 0.063,2.7622,0.0628,32 $\pm$ 0.186,32.0982,0.18616956,1.056 $\pm$ 0.347,1.055555556,0.3471913567
15041,2,56500.46496,56500.47422,800,0.029 $\pm$ 0.007,0.029,0.0065,0.038 $\pm$ 0.013,0.0383,0.0127,1.649 $\pm$ 0.040,1.649,0.0401,2.061 $\pm$ 0.050,2.0613,0.0502,2.576 $\pm$ 0.063,2.5759,0.0628,23 $\pm$ 0.151,23.2356,0.1510314,2.000 $\pm$ 0.816,2,0.8164965809
11843,1,55329.15384,55329.19500,3556,0.104 $\pm$ 0.005,0.104,0.0054,0.271 $\pm$ 0.021,0.2705,0.0214,29.322 $\pm$ 0.087,29.3224,0.087,8.246 $\pm$ 0.025,8.2462,0.0245,10.305 $\pm$ 0.035,10.305,0.0347,370 $\pm$ 1.998,370.004,1.9980216,2.162 $\pm$ 0.242,2.162393162,0.2417588215
22230,1,58682.13507,58682.14852,1162,0.064 $\pm$ 0.007,0.064,0.0074,0.115 $\pm$ 0.020,0.1147,0.0201,5.689 $\pm$ 0.045,5.689,0.0445,4.894 $\pm$ 0.038,4.8944,0.0383,6.116 $\pm$ 0.049,6.1164,0.0489,74 $\pm$ 0.548,74.0026,0.54761924,0.850 $\pm$ 0.198,0.85,0.1982738006
31022,1,60899.13586,60899.15851,1957,0.026 $\pm$ 0.004,0.026,0.0036,0.044 $\pm$ 0.013,0.0436,0.0125,3.335 $\pm$ 0.081,3.3346,0.0811,1.704 $\pm$ 0.041,1.7037,0.0414,2.129 $\pm$ 0.052,2.129,0.0519,51 $\pm$ 0.184,50.9995,0.1835982,0.700 $\pm$ 0.199,0.7,0.1991649233
