obs_id,flare_number,start_mjd,end_mjd,duration_s,Mean Rate,Max Rate,Energy (1e37erg),Luminosity (1e34),Flux (1e-12),Fluence,Hardness Ratio,Shape
13854,2,56006.52882,56006.53815,806,0.055 $\pm$ 0.008,0.066 $\pm$ 0.014,4.419 $\pm$ 0.099,5.484 $\pm$ 0.123,6.853 $\pm$ 0.154,44 $\pm$ 0.361,1.645 $\pm$ 0.375,1
13854,3,56006.58561,56006.59681,968,0.052 $\pm$ 0.007,0.070 $\pm$ 0.015,4.972 $\pm$ 0.119,5.139 $\pm$ 0.123,6.422 $\pm$ 0.154,50 $\pm$ 0.365,1.200 $\pm$ 0.257,1
13854,4,56006.68285,56006.68750,402,0.100 $\pm$ 0.016,0.107 $\pm$ 0.018,4.331 $\pm$ 0.049,10.772 $\pm$ 0.123,13.461 $\pm$ 0.155,40 $\pm$ 0.628,1.370 $\pm$ 0.347,1
13847,1,56048.51526,56048.55282,3245,0.024 $\pm$ 0.003,0.043 $\pm$ 0.012,6.562 $\pm$ 0.110,2.022 $\pm$ 0.034,2.527 $\pm$ 0.042,77 $\pm$ 0.208,1.655 $\pm$ 0.225,2
14427,1,56054.10112,56054.15898,4999,0.020 $\pm$ 0.002,0.035 $\pm$ 0.011,8.227 $\pm$ 0.274,1.646 $\pm$ 0.055,2.057 $\pm$ 0.069,99 $\pm$ 0.198,1.593 $\pm$ 0.183,1
14427,2,56054.47212,56054.49750,2192,0.019 $\pm$ 0.003,0.035 $\pm$ 0.011,3.323 $\pm$ 0.120,1.516 $\pm$ 0.055,1.894 $\pm$ 0.069,41 $\pm$ 0.119,1.544 $\pm$ 0.262,1
13849,1,56060.14216,56060.17036,2436,0.055 $\pm$ 0.005,0.077 $\pm$ 0.016,13.521 $\pm$ 0.060,5.551 $\pm$ 0.025,6.936 $\pm$ 0.033,133 $\pm$ 0.625,1.845 $\pm$ 0.250,2
13845,1,56067.86922,56068.03139,14011,0.017 $\pm$ 0.001,0.109 $\pm$ 0.018,17.473 $\pm$ 0.379,1.247 $\pm$ 0.027,1.558 $\pm$ 0.034,238 $\pm$ 0.262,1.442 $\pm$ 0.098,1
13853,1,56122.26092,56122.26872,674,0.025 $\pm$ 0.006,0.028 $\pm$ 0.010,1.573 $\pm$ 0.025,2.334 $\pm$ 0.038,2.917 $\pm$ 0.047,17 $\pm$ 0.104,2.063 $\pm$ 0.628,1
14465,1,56126.98119,56127.03307,4482,0.019 $\pm$ 0.002,0.040 $\pm$ 0.011,6.944 $\pm$ 0.256,1.549 $\pm$ 0.057,1.936 $\pm$ 0.072,85 $\pm$ 0.178,1.854 $\pm$ 0.235,1
14465,2,56127.18193,56127.20803,2255,0.018 $\pm$ 0.003,0.033 $\pm$ 0.010,3.286 $\pm$ 0.129,1.457 $\pm$ 0.057,1.821 $\pm$ 0.072,41 $\pm$ 0.115,1.434 $\pm$ 0.257,1
14466,1,56128.55541,56128.55988,386,0.070 $\pm$ 0.014,0.081 $\pm$ 0.016,2.862 $\pm$ 0.018,7.408 $\pm$ 0.047,9.258 $\pm$ 0.061,27 $\pm$ 0.365,1.238 $\pm$ 0.363,1
13842,1,56130.19184,56130.22941,3246,0.038 $\pm$ 0.003,0.061 $\pm$ 0.014,11.991 $\pm$ 0.127,3.694 $\pm$ 0.039,4.616 $\pm$ 0.050,123 $\pm$ 0.418,1.289 $\pm$ 0.161,1
13842,2,56130.91328,56130.92399,925,0.055 $\pm$ 0.008,0.077 $\pm$ 0.016,5.296 $\pm$ 0.036,5.726 $\pm$ 0.039,7.156 $\pm$ 0.050,51 $\pm$ 0.393,1.474 $\pm$ 0.310,2
13842,3,56131.49880,56131.58747,7661,0.022 $\pm$ 0.002,0.043 $\pm$ 0.012,13.768 $\pm$ 0.301,1.797 $\pm$ 0.039,2.246 $\pm$ 0.049,167 $\pm$ 0.284,1.860 $\pm$ 0.176,2
