obs_id,obs_date,telescope,instrument,exposure_ks,quiescent_rate,quiescent_rate_err
13845,2012-05-19T10:51:01,CHANDRA,ACIS,135.319179,6.405000,0.230000
13842,2012-07-21T12:00:56,CHANDRA,ACIS,191.747321,6.550000,0.333000
3392,2002-05-25T15:23:50,CHANDRA,ACIS,24.755309,4.700000,0.300000
14432,2012-07-30T13:03:31,CHANDRA,ACIS,74.265313,5.904000,0.302000
16965,2015-08-17T10:40:19,CHANDRA,ACIS,25.067749,5.298000,0.500000
28232,2024-04-09T07:32:09,CHANDRA,ACIS,25.097102,5.618000,0.473000
22592,2021-05-23T01:55:02,CHANDRA,ACIS,21.525021,6.170000,0.810000
6646,2006-10-29T03:23:11,CHANDRA,ACIS,5.166574,7.742000,1.224000
14460,2012-07-09T22:42:02,CHANDRA,ACIS,24.062590,5.608000,0.643000
7555,2007-03-25T22:57:14,CHANDRA,ACIS,5.154917,5.238000,1.008000
6641,2006-06-01T16:15:54,CHANDRA,ACIS,5.132558,9.157000,1.336000
22595,2021-06-20T23:51:43,CHANDRA,ACIS,20.104724,9.943000,1.392000
15570,2012-10-25T03:27:07,CHANDRA,ACIS,68.707021,6.055000,0.318000
22937,2020-08-20T23:30:23,CHANDRA,ACIS,25.801237,4.612000,0.466000
16964,2015-10-21T06:00:45,CHANDRA,ACIS,24.946393,5.115000,0.486000
16963,2015-02-13T00:37:37,CHANDRA,ACIS,25.071793,4.283000,0.544000
13843,2012-10-22T15:57:29,CHANDRA,ACIS,120.667602,6.561000,0.329000
22707,2020-07-02T11:43:11,CHANDRA,ACIS,26.026000,4.572000,0.419000
3393,2002-05-28T05:42:39,CHANDRA,ACIS,106.562530,4.881000,0.316000
13844,2012-07-10T23:19:53,CHANDRA,ACIS,20.064007,6.130000,0.553000
16211,2014-03-14T10:17:59,CHANDRA,ACIS,46.074961,4.305000,0.360000
16216,2014-08-02T03:37:51,CHANDRA,ACIS,47.066154,4.023000,0.337000
21456,2019-04-01T04:25:01,CHANDRA,ACIS,33.072373,4.993000,0.458000
9170,2008-05-06T03:06:45,CHANDRA,ACIS,27.148660,5.046000,0.431000
16218,2014-10-20T08:18:22,CHANDRA,ACIS,40.066239,4.683000,0.584000
14943,2013-10-17T15:37:18,CHANDRA,ACIS,20.068034,4.912000,0.646000
25297,2022-03-20T05:05:20,CHANDRA,ACIS,25.916995,4.422000,0.659000
29496,2024-09-06T19:59:19,CHANDRA,ACIS,27.292100,4.837000,0.421000
14944,2013-09-20T07:02:53,CHANDRA,ACIS,20.068598,4.349000,0.807000
25299,2022-03-23T07:27:45,CHANDRA,ACIS,23.096354,4.286000,0.431000
23738,2021-07-27T23:54:13,CHANDRA,ACIS,21.702381,4.907000,0.501000
20344,2018-04-20T03:22:12,CHANDRA,ACIS,32.072239,5.332000,0.408000
2951,2002-02-19T14:23:59,CHANDRA,ACIS,12.536887,6.222000,0.704000
9171,2008-05-10T03:24:39,CHANDRA,ACIS,19.210668,4.814000,0.414000
16217,2014-08-30T04:53:06,CHANDRA,ACIS,38.065290,4.188000,0.486000
16210,2014-06-03T03:07:31,CHANDRA,ACIS,18.769240,5.357000,0.610000
22288,2019-08-15T23:29:20,CHANDRA,ACIS,26.667437,5.212000,0.442000
25298,2022-03-22T06:21:01,CHANDRA,ACIS,25.097244,4.861000,0.440000
23739,2021-07-29T23:45:10,CHANDRA,ACIS,21.702878,5.579000,0.561000
20345,2018-04-22T03:35:58,CHANDRA,ACIS,31.474867,4.416000,0.375000
14945,2013-08-31T10:15:29,CHANDRA,ACIS,20.067056,7.108000,0.700000
14942,2013-04-14T15:46:48,CHANDRA,ACIS,20.094774,4.728000,0.485000
23737,2021-06-26T01:45:25,CHANDRA,ACIS,22.703938,4.933000,0.466000
15045,2013-10-28T14:26:09,CHANDRA,ACIS,50.065464,5.137000,0.505000
5953,2005-07-30T19:44:52,CHANDRA,ACIS,45.959530,5.065000,0.373000
15042,2013-08-11T23:03:07,CHANDRA,ACIS,49.420558,4.435000,0.506000
5954,2005-08-01T20:22:14,CHANDRA,ACIS,18.062816,4.318000,0.489000
2943,2002-05-22T23:27:19,CHANDRA,ACIS,38.183819,4.531000,0.344000
14704,2013-10-23T08:50:01,CHANDRA,ACIS,40.066468,6.595000,0.487000
14394,2012-02-10T03:12:35,CHANDRA,ACIS,18.065401,6.864000,0.616000
14393,2012-02-11T10:09:28,CHANDRA,ACIS,41.549364,8.087000,0.441000
14703,2013-06-04T08:53:28,CHANDRA,ACIS,18.568403,4.796000,0.764000
31020,2025-08-07T21:17:37,CHANDRA,ACIS,25.092226,5.819000,0.482000
20750,2019-08-13T23:23:09,CHANDRA,ACIS,26.767053,5.305000,0.445000
1561,2001-07-14T01:58:51,CHANDRA,ACIS,5.230748,4.352000,0.562000
1561,2000-10-26T19:03:10,CHANDRA,ACIS,36.257427,5.237000,0.582000
18731,2016-07-12T18:31:40,CHANDRA,ACIS,86.467041,5.491000,0.279000
3663,2002-05-24T11:57:57,CHANDRA,ACIS,30.974637,5.638000,0.476000
14702,2013-05-12T10:45:41,CHANDRA,ACIS,15.071624,4.832000,0.997000
31021,2025-08-09T18:43:25,CHANDRA,ACIS,26.923149,6.389000,0.487000
22604,2020-03-26T04:44:00,CHANDRA,ACIS,33.073386,4.717000,0.378000
14392,2012-02-09T06:13:13,CHANDRA,ACIS,59.253508,7.316000,0.536000
31019,2025-08-05T06:13:21,CHANDRA,ACIS,25.092686,5.539000,0.470000
15043,2013-09-14T00:05:43,CHANDRA,ACIS,50.064571,6.125000,0.500000
15044,2013-10-04T17:22:43,CHANDRA,ACIS,47.064119,4.421000,0.417000
5952,2005-07-29T19:57:37,CHANDRA,ACIS,29.564562,4.945000,0.483000
3665,2002-06-03T01:32:47,CHANDRA,ACIS,5.613129,5.268000,0.240000
6113,2005-02-27T06:23:31,CHANDRA,ACIS,4.922441,3.860000,0.886000
20751,2019-08-19T22:51:15,CHANDRA,ACIS,26.766511,4.806000,0.544000
28229,2024-04-04T07:21:02,CHANDRA,ACIS,25.096207,5.738000,0.478000
14427,2012-05-06T20:08:29,CHANDRA,ACIS,80.070171,5.840000,0.465000
13857,2012-03-17T08:58:52,CHANDRA,ACIS,39.558729,7.009000,0.536000
6639,2006-04-11T05:36:43,CHANDRA,ACIS,4.551725,5.053000,1.054000
13850,2012-02-06T00:33:17,CHANDRA,ACIS,60.066663,6.027000,0.317000
3549,2003-06-19T18:37:22,CHANDRA,ACIS,25.118570,5.852000,0.483000
23666,2021-04-11T06:24:17,CHANDRA,ACIS,25.071954,5.449000,0.472000
23668,2021-04-16T08:30:16,CHANDRA,ACIS,25.071430,5.783000,0.480000
13851,2012-10-16T18:46:10,CHANDRA,ACIS,107.054730,5.663000,0.302000
13856,2012-03-15T08:46:12,CHANDRA,ACIS,40.067675,5.865000,0.383000
23295,2020-07-03T17:56:27,CHANDRA,ACIS,16.957989,4.814000,0.451000
23667,2021-04-14T02:53:07,CHANDRA,ACIS,25.956888,6.087000,0.484000
