obs_id,filename,flare_number,start_mjd,end_mjd,duration_s,rate_mean,rate_mean_err,rate_max,rate_max_err,energy_1e37erg,energy_err,luminosity_1e34,luminosity_err,flux_1e_minus12,flux_err,fluence_ct,hardness_ratio,Shape
21454,21454_SGRA_TABLE_RESULTS.txt,2,58572.4597801484,58572.4824415204,1957.9968,0.0378,0.0044,0.1187,0.0205,4.6753,0.7177,2.3878,0.3665,3.1656,0.486,74.0,1.4333333333333300,2
10556,10556_SGRA_TABLE_RESULTS.txt,1,54969.1157869404,54969.1296568924,1198.368,0.0473,0.0062,0.0592,0.0131,3.8867,0.6189,3.2433,0.5164,4.2998,0.6847,56.7267,1.380952380952380,1
10556,10556_SGRA_TABLE_RESULTS.txt,2,54969.4084185051,54969.4500645368,3598.2144000000000,0.0269,0.0027,0.0502,0.0122,6.0098,0.8153,1.6702,0.2266,2.2143,0.3004,96.7428,1.3076923076923100,2
10556,10556_SGRA_TABLE_RESULTS.txt,3,54969.9662496287,54969.9855184027,1664.8416000000000,0.1272,0.0087,0.1673,0.0194,15.6228,1.2004,9.384,0.721,12.4407,0.9561,211.7092,2.604651162790700,1
10556,10556_SGRA_TABLE_RESULTS.txt,4,54970.0408161481,54970.0476329314,588.9888,0.1091,0.0136,0.1113,0.0169,4.7088,0.6608,7.9946,1.122,10.5988,1.4875,64.2609,1.8823529411764700,1
18732,18732_SGRA_TABLE_RESULTS.txt,1,57587.6279846369,57587.6576560533,2563.5744,0.022,0.0029,0.0486,0.0133,3.3464,0.6204,1.3054,0.242,1.7306,0.3209,56.4026,1.0740740740740700,2
4684,04684_SGRA_TABLE_RESULTS.txt,1,53193.1433966282,53193.1634999663,1736.8992000000000,0.0788,0.0067,0.1368,0.0182,9.763,0.9649,5.6209,0.5555,7.4519,0.7366,136.8248,1.85,1
15041,15041_SGRA_TABLE_RESULTS.txt,1,56500.1507258236,56500.1627820644,1041.6384,0.031,0.0058,0.0401,0.0127,2.1348,0.505,2.0495,0.4848,2.7171,0.6427,32.2653,1.0555555555555600,1
15041,15041_SGRA_TABLE_RESULTS.txt,2,56500.464956453,56500.474215574,799.9776000000000,0.0292,0.0065,0.0379,0.0127,1.5279,0.4309,1.9099,0.5387,2.532,0.7141,23.3276,2.0,1
11843,11843_SGRA_TABLE_RESULTS.txt,1,55329.1538426927,55329.1949982424,3555.8784,0.1489,0.0065,0.2504,0.0214,39.0079,1.9012,10.97,0.5347,14.5433,0.7092,529.4651,2.1982758620689700,1
22230,22230_SGRA_TABLE_RESULTS.txt,1,58682.1350683115,58682.1485208444,1162.3392,0.0629,0.0074,0.1144,0.0201,5.1318,0.7069,4.415,0.6082,5.8532,0.8063,73.1168,0.8947368421052630,1
31022,31022_SGRA_TABLE_RESULTS.txt,1,60899.1322780928,60899.1652226166,2846.4480000000000,0.019,0.0026,0.0406,0.012,2.875,0.6177,1.01,0.217,1.339,0.2877,54.0,0.7419354838709680,1
23665,23665_SGRA_TABLE_RESULTS.txt,1,59314.3525806787,59314.3741622918,1864.6848,0.0323,0.0042,0.0487,0.0133,3.8202,0.6453,2.0487,0.3461,2.7161,0.4588,60.172,1.1851851851851900,1
13838,13838_SGRA_TABLE_RESULTS.txt,1,56141.0172883562,56141.0524231841,3035.664,0.0573,0.0043,0.1415,0.0205,11.8416,1.5471,3.9008,0.5096,5.1715,0.6757,174.0,1.6666666666666700,1
20446,20446_SGRA_TABLE_RESULTS.txt,1,58685.0777559162,58685.0882939269,910.4832,0.0274,0.0054,0.0369,0.0116,1.547,0.4053,1.6991,0.4451,2.2526,0.5901,24.961,1.0833333333333300,1
13854,13854_SGRA_TABLE_RESULTS.txt,1,56006.4868983093,56006.4946421282,669.0816,0.0562,0.0091,0.0582,0.0135,2.457,0.7166,3.6723,1.071,4.8685,1.4199,37.5807,1.7307692307692300,1
13854,13854_SGRA_TABLE_RESULTS.txt,2,56006.5288187797,56006.5381451058,805.7664,0.0589,0.0085,0.0663,0.0143,3.1268,0.8084,3.8805,1.0033,5.1445,1.3301,47.4394,1.6451612903225800,1
13854,13854_SGRA_TABLE_RESULTS.txt,3,56006.5856100532,56006.5968083155,967.5072,0.0554,0.0075,0.0703,0.0147,3.4975,0.8603,3.6149,0.8892,4.7925,1.1789,53.6215,1.2,1
13854,13854_SGRA_TABLE_RESULTS.txt,4,56006.6828494131,56006.6875037033,402.1056,0.1137,0.0167,0.1076,0.0179,3.2549,0.7865,8.0947,1.9559,10.7315,2.5931,45.7033,1.3214285714285700,1
19703,19703_SGRA_TABLE_RESULTS.txt,1,57949.9606547532,57950.0140103535,4609.9584,0.0139,0.0017,0.0262,0.0097,3.2425,0.6716,0.7034,0.1457,0.9325,0.1932,64.0102,0.96875,1
19703,19703_SGRA_TABLE_RESULTS.txt,2,57950.5536556274,57950.5658856855,1056.672,0.0358,0.0058,0.0489,0.0133,2.5221,0.5031,2.3868,0.4761,3.1643,0.6312,37.7971,1.6428571428571400,1
13839,13839_SGRA_TABLE_RESULTS.txt,1,56132.3935211684,56132.4034276333,855.8784000000000,0.0528,0.0078,0.0608,0.0139,3.0332,0.7852,3.5439,0.9174,4.6983,1.2163,45.2086,2.44,2
13839,13839_SGRA_TABLE_RESULTS.txt,2,56134.0058681187,56134.0415119547,3079.6416000000000,0.0936,0.0055,0.1611,0.0216,20.5728,1.9872,6.6803,0.6453,8.8563,0.8556,288.2352,1.9416058394160600,2
20041,20041_SGRA_TABLE_RESULTS.txt,1,57854.3545234889,57854.3809904317,2286.7488000000000,0.1041,0.0067,0.1701,0.0244,17.0684,1.28,7.4641,0.5597,9.8954,0.7422,238.0,1.2549019607843100,1
13852,13852_SGRA_TABLE_RESULTS.txt,1,56143.3215321682,56143.3356009205,1215.5616,0.0539,0.0066,0.0727,0.0151,4.3776,0.9442,3.6013,0.7767,4.7744,1.0298,65.5364,1.9285714285714300,1
13852,13852_SGRA_TABLE_RESULTS.txt,2,56144.3340669426,56144.3540238093,1724.2848,0.0233,0.0037,0.0279,0.0096,2.1466,0.7422,1.2449,0.4304,1.6505,0.5707,40.1452,2.1578947368421100,1
14468,14468_SGRA_TABLE_RESULTS.txt,1,56230.2939987989,56230.3345487205,3503.5200000000000,0.0255,0.0027,0.0467,0.0122,5.2493,1.108,1.4983,0.3163,1.9863,0.4193,89.3155,1.9240506329113900,2
14468,14468_SGRA_TABLE_RESULTS.txt,2,56231.5642457846,56231.5894560817,2178.144,0.0312,0.0038,0.0544,0.0131,4.2193,0.9596,1.9371,0.4406,2.5681,0.5841,67.9531,1.5932203389830500,2
22594,22594_SGRA_TABLE_RESULTS.txt,1,59385.1461599711,59385.1922850757,3985.2,0.0763,0.0044,0.2084,0.0268,21.9043,1.4542,5.4964,0.3649,7.2868,0.4839,304.0,1.1865671641791000,2
14466,14466_SGRA_TABLE_RESULTS.txt,1,56128.5461937825,56128.5603894327,1226.5344,0.0374,0.0055,0.0803,0.0158,2.849,0.787,2.3228,0.6416,3.0794,0.8507,45.9243,1.4130434782608700,1
18055,18055_SGRA_TABLE_RESULTS.txt,1,57431.506776851,57431.5521702619,3922.0416,0.0433,0.0033,0.1108,0.0201,11.6067,1.1131,2.9594,0.2838,3.9233,0.3763,170.0,1.024390243902440,3
18055,18055_SGRA_TABLE_RESULTS.txt,2,57431.6501269879,57431.6753327827,2177.7984,0.0825,0.0063,0.1227,0.0211,12.9982,1.1371,5.9685,0.5221,7.9127,0.6923,179.5897,1.4,2
13845,13845_SGRA_TABLE_RESULTS.txt,1,56067.8692229492,56068.0313904359,14011.2288,0.0171,0.0011,0.1047,0.0179,11.5983,1.8515,0.8278,0.1321,1.0974,0.1752,240.0,1.4130434782608700,1
13842,13842_SGRA_TABLE_RESULTS.txt,1,56130.1918448833,56130.2294147132,3246.048,0.0389,0.0035,0.061,0.0139,8.1143,1.3193,2.4997,0.4064,3.314,0.5388,126.1571,1.2831858407079600,2
13842,13842_SGRA_TABLE_RESULTS.txt,2,56130.913283464,56130.9239888886,924.912,0.0584,0.0079,0.0766,0.0155,3.7,0.8525,4.0004,0.9217,5.3034,1.222,53.9896,1.4736842105263200,1
13842,13842_SGRA_TABLE_RESULTS.txt,3,56131.498799817,56131.5874654235,7660.742400000000,0.0221,0.0017,0.0421,0.0117,9.2507,1.5494,1.2075,0.2022,1.6009,0.2681,169.044,1.8588235294117600,1
3392,03392_SGRA_TABLE_RESULTS.txt,1,52420.1758120228,52420.2104408491,2991.9456,0.0226,0.0027,0.0449,0.0117,4.104,0.68,1.3717,0.2273,1.8185,0.3013,67.4822,2.0952380952381000,1
3392,03392_SGRA_TABLE_RESULTS.txt,2,52420.568998866,52420.6309489083,5352.48,0.0125,0.0015,0.0325,0.0101,3.1841,0.6838,0.5949,0.1278,0.7887,0.1694,66.6711,0.8857142857142860,1
3392,03392_SGRA_TABLE_RESULTS.txt,3,52421.2367785838,52421.2489758648,1053.8208,0.0302,0.0053,0.0325,0.0101,2.0675,0.4605,1.9619,0.437,2.601,0.5793,31.854,1.7272727272727300,1
14432,14432_SGRA_TABLE_RESULTS.txt,1,56138.5614005157,56138.6138749833,4533.7536,0.0136,0.0017,0.0207,0.0083,2.6093,0.928,0.5755,0.2047,0.763,0.2714,61.6481,1.6122448979591800,1
14432,14432_SGRA_TABLE_RESULTS.txt,2,56139.3750400662,56139.420952753,3966.8832,0.0527,0.0036,0.1143,0.0185,14.2108,1.6974,3.5824,0.4279,4.7493,0.5673,209.0,1.7391304347826100,2
22592,22592_SGRA_TABLE_RESULTS.txt,1,59357.2033116202,59357.2601579368,4911.4944000000000,0.0255,0.0023,0.0854,0.0171,7.4984,0.9752,1.5267,0.1986,2.024,0.2633,125.0,1.2105263157894700,2
22595,22595_SGRA_TABLE_RESULTS.txt,1,59386.0150757433,59386.0259079556,935.8848,0.0987,0.0102,0.142,0.0217,6.4073,0.7993,6.8463,0.8541,9.0764,1.1324,92.3453,1.2,1
22595,22595_SGRA_TABLE_RESULTS.txt,2,59386.0852738163,59386.1857061669,8677.4112,0.0676,0.0028,0.2593,0.0287,38.699,2.2356,4.4597,0.2576,5.9125,0.3417,587.0,1.2292490118577100,3
15570,15570_SGRA_TABLE_RESULTS.txt,1,56225.2301107415,56225.2583015752,2435.7024,0.0337,0.0037,0.077,0.0155,5.1588,1.0634,2.118,0.4366,2.8079,0.5788,82.0,1.6885245901639300,2
22937,22937_SGRA_TABLE_RESULTS.txt,1,59082.237694658,59082.3062533374,5920.3008,0.018,0.0017,0.0354,0.0107,6.1415,0.8782,1.0374,0.1483,1.3753,0.1967,106.3312,1.5476190476190500,2
16963,16963_SGRA_TABLE_RESULTS.txt,1,57066.2491718816,57066.2592286646,868.9248,0.0439,0.0072,0.0543,0.0142,2.6574,0.5173,3.0583,0.5953,4.0545,0.7892,38.186,2.25,1
13843,13843_SGRA_TABLE_RESULTS.txt,1,56223.3782249419,56223.4728285995,8173.699200000000,0.0344,0.0021,0.1294,0.0197,17.4326,1.9865,2.1328,0.243,2.8275,0.3222,281.0,1.628691983122360,3
3393,03393_SGRA_TABLE_RESULTS.txt,1,52422.637211519,52422.6752940158,3290.3712,0.1058,0.0057,0.3099,0.0221,25.5755,1.5427,7.7728,0.4689,10.3047,0.6218,348.0,1.7263157894736800,2
3393,03393_SGRA_TABLE_RESULTS.txt,2,52423.2387870099,52423.3009367529,5369.760000000000,0.0338,0.0025,0.0936,0.0158,12.0139,1.1194,2.2373,0.2085,2.9661,0.2764,181.5066,1.912280701754390,2
3393,03393_SGRA_TABLE_RESULTS.txt,3,52423.7816468181,52423.7936077478,1033.4304,0.0702,0.0082,0.0829,0.0151,5.2075,0.7012,5.0391,0.6785,6.6805,0.8996,72.572,1.5416666666666700,1
21456,21456_SGRA_TABLE_RESULTS.txt,1,58574.4761701491,58574.4931112524,1463.7024,0.0312,0.0046,0.0524,0.0138,2.967,0.5566,2.027,0.3803,2.6873,0.5042,45.6824,1.25,2
16218,16218_SGRA_TABLE_RESULTS.txt,1,56950.5521584909,56950.6266658518,6437.4048,0.1404,0.0047,0.6206,0.0433,67.3473,2.5025,10.4619,0.3887,13.8697,0.5159,904.0,1.4907407407407400,3
25297,25297_SGRA_TABLE_RESULTS.txt,1,59658.3361333637,59658.413494944,6684.0768,0.0143,0.0015,0.0402,0.012,4.7847,0.8932,0.7158,0.1336,0.949,0.1772,95.6263,1.0,2
14944,14944_SGRA_TABLE_RESULTS.txt,1,56555.4567037892,56555.4854216868,2481.2352,0.0171,0.003,0.0324,0.0116,2.703,0.6266,1.0894,0.2525,1.4442,0.3348,42.4741,1.2608695652173900,2
16217,16217_SGRA_TABLE_RESULTS.txt,1,56899.4940569153,56899.5475196609,4619.2032,0.0177,0.0021,0.0425,0.0127,4.7517,0.8066,1.0287,0.1746,1.3638,0.2315,81.9249,1.170731707317070,2
23739,23739_SGRA_TABLE_RESULTS.txt,1,59425.001908363,59425.0477052716,3956.8608,0.1031,0.0051,0.4952,0.0375,29.6751,1.678,7.4997,0.4241,9.9426,0.5624,408.0,1.6521739130434800,2
15045,15045_SGRA_TABLE_RESULTS.txt,1,56593.6715066504,56593.6981197756,2299.3632,0.0303,0.0038,0.0374,0.0122,4.4861,0.7313,1.951,0.318,2.5865,0.4216,69.706,1.1714285714285700,2
15045,15045_SGRA_TABLE_RESULTS.txt,2,56593.8274951275,56593.8384486763,946.4256,0.0278,0.0057,0.0408,0.0127,1.6666,0.4465,1.761,0.4718,2.3346,0.6255,26.353,1.6363636363636400,1
5953,05953_SGRA_TABLE_RESULTS.txt,1,53581.9306907625,53581.9555373808,2146.7808,0.0518,0.0049,0.0894,0.0155,7.8006,0.8726,3.6336,0.4064,4.8173,0.5389,111.1687,1.3095238095238100,2
15042,15042_SGRA_TABLE_RESULTS.txt,1,56516.3603274703,56516.3749291794,1261.6128,0.0266,0.005,0.0449,0.0135,2.2213,0.5183,1.7607,0.4109,2.3342,0.5447,33.5517,1.0526315789473700,1
15042,15042_SGRA_TABLE_RESULTS.txt,2,56516.4086533693,56516.4446348164,3108.7584000000000,0.0249,0.0031,0.0401,0.0125,5.0693,0.8025,1.6307,0.2581,2.1618,0.3422,77.4197,1.2195121951219500,2
1561,01561_SGRA_TABLE_RESULTS.txt,1,51844.1051536376,51844.1128804099,667.6128,0.037,0.0073,0.0421,0.0112,1.6472,0.4058,2.4673,0.6079,3.271,0.8059,24.6768,1.2,1
1561,01561_SGRA_TABLE_RESULTS.txt,2,51844.1588659553,51844.2795123523,10423.9008,0.0935,0.003,0.3913,0.0224,71.0809,2.6266,6.819,0.252,9.0403,0.3344,975.0,1.9264069264069300,3
18731,18731_SGRA_TABLE_RESULTS.txt,1,57581.9520631348,57581.9625245837,903.8304,0.0358,0.0063,0.0639,0.0152,2.1079,0.4676,2.3322,0.5173,3.0919,0.6859,32.3862,1.4615384615384600,1
3663,03663_SGRA_TABLE_RESULTS.txt,1,52418.8011211186,52418.8559271925,4735.2384,0.0205,0.0021,0.0451,0.0117,5.4845,0.8339,1.1582,0.1761,1.5355,0.2335,97.251,1.6857142857142900,2
14392,14392_SGRA_TABLE_RESULTS.txt,1,55966.4300207317,55966.4544349776,2109.3696,0.0222,0.0032,0.0392,0.0112,2.4495,0.8039,1.1613,0.3811,1.5395,0.5053,46.8082,1.5087719298245600,1
14392,14392_SGRA_TABLE_RESULTS.txt,2,55966.5986448471,55966.6639426611,5641.6608,0.1668,0.0054,0.369,0.0289,69.3059,3.6056,12.2847,0.6391,16.2863,0.8477,941.0,1.9263456090651600,3
15043,15043_SGRA_TABLE_RESULTS.txt,1,56549.0852479914,56549.1493475096,5538.240000000000,0.6908,0.0112,1.9915,0.062,291.6561,5.1132,52.6622,0.9232,69.8164,1.2293,3826.0,1.736426456071080,3
5952,05952_SGRA_TABLE_RESULTS.txt,1,53581.1097515494,53581.1501751383,3492.6336,0.0213,0.0025,0.0406,0.0112,4.2212,0.7245,1.2086,0.2074,1.6023,0.275,74.4007,1.0571428571428600,2
20751,20751_SGRA_TABLE_RESULTS.txt,1,58715.156961405,58715.2262554391,5987.0016000000000,0.2258,0.0061,0.8814,0.0492,101.6505,3.0488,16.9785,0.5092,22.5091,0.6761,1352.0,1.5422222222222200,3
14427,14427_SGRA_TABLE_RESULTS.txt,1,56054.1011198334,56054.1589818384,4999.2768,0.0198,0.002,0.0349,0.0107,5.3982,1.1889,1.0798,0.2378,1.4315,0.3153,98.8182,1.4573643410852700,2
14427,14427_SGRA_TABLE_RESULTS.txt,2,56054.472124744,56054.4975012336,2192.4864,0.019,0.0029,0.0349,0.0107,2.2446,0.7584,1.0238,0.3459,1.3573,0.4586,41.7408,1.4745762711864400,1
13857,13857_SGRA_TABLE_RESULTS.txt,1,56003.6701941419,56003.6760472825,505.6992,0.0329,0.0079,0.0352,0.0112,1.0759,0.469,2.1276,0.9275,2.8207,1.2297,16.6617,2.2857142857142900,1
23666,23666_SGRA_TABLE_RESULTS.txt,1,59315.5674243423,59315.5751048431,663.6384,0.0312,0.0067,0.0456,0.0127,1.3209,0.3702,1.9904,0.5578,2.6388,0.7395,20.7363,1.8571428571428600,1
13851,13851_SGRA_TABLE_RESULTS.txt,1,56217.8122561849,56217.8742720065,5358.182400000000,0.0855,0.004,0.2163,0.0246,32.821,2.5113,6.1254,0.4687,8.1207,0.6215,458.0,1.8181818181818200,2
