obs_id,filename,flare_number,start_mjd,end_mjd,duration_s,rate_mean,rate_mean_err,rate_max,rate_max_err,energy_1e37erg,energy_err,luminosity_1e34,luminosity_err,flux_1e_minus12,flux_err,fluence_ct
10556,10556_SGRA_TABLE_RESULTS.txt,1,54969.1157869404,54969.1296568924,1198.368,0.0469,0.0062,0.0592,0.0131,4.2064,8.7161,3.5101,7.2733,4.3865,9.0893,56.2129
10556,10556_SGRA_TABLE_RESULTS.txt,2,54969.4084185051,54969.4500645368,3598.2144000000003,0.0268,0.0027,0.0502,0.0122,6.5416,11.4831,1.818,3.1913,2.2719,3.9881,96.4725
10556,10556_SGRA_TABLE_RESULTS.txt,3,54969.9662496287,54969.9855184027,1664.8416000000002,0.1274,0.0087,0.1673,0.0194,17.1214,16.9467,10.2841,10.1792,12.8517,12.7206,212.0337
10556,10556_SGRA_TABLE_RESULTS.txt,4,54970.0408161481,54970.0476329314,588.9888,0.1087,0.0136,0.1113,0.0169,5.1306,9.3072,8.7108,15.8019,10.8856,19.7472,64.0079
18732,18732_SGRA_TABLE_RESULTS.txt,1,57587.6279846369,57587.6576560533,2563.5744,0.0222,0.0029,0.0486,0.0133,3.6957,8.7385,1.4416,3.4087,1.8016,4.2598,56.7882
4684,04684_SGRA_TABLE_RESULTS.txt,1,53193.1433966282,53193.1634999663,1736.8991999999998,0.0789,0.0067,0.1368,0.0182,10.6818,13.5901,6.1499,7.8244,7.6854,9.7779,136.9803
15041,15041_SGRA_TABLE_RESULTS.txt,1,56500.1507258236,56500.1627820644,1041.6384,0.0306,0.0058,0.0396,0.0127,2.33,7.1112,2.2368,6.8269,2.7953,8.5314,31.9111
15041,15041_SGRA_TABLE_RESULTS.txt,2,56500.464956453,56500.474215574,799.9775999999999,0.0288,0.0065,0.0375,0.0127,1.6676,6.0687,2.0846,7.5861,2.605,9.4801,23.0611
11843,11843_SGRA_TABLE_RESULTS.txt,1,55329.1538426927,55329.1949982424,3555.8784,0.1526,0.0065,0.2504,0.0214,43.8605,27.1029,12.3346,7.622,15.4142,9.525,542.7587
22230,22230_SGRA_TABLE_RESULTS.txt,1,58682.1350683115,58682.1485208444,1162.3392,0.0633,0.0074,0.1144,0.0201,5.6531,9.956,4.8635,8.5655,6.0778,10.704,73.6147
31022,31022_SGRA_TABLE_RESULTS.txt,1,60899.1322780928,60899.1652226166,2846.4480000000003,0.0186,0.0026,0.0406,0.012,3.0723,8.6223,1.0794,3.0291,1.3488,3.7854,53.0
23665,23665_SGRA_TABLE_RESULTS.txt,1,59314.3525806787,59314.3741622918,1864.6848,0.0327,0.0042,0.0487,0.0133,4.2465,9.1625,2.2773,4.9137,2.8459,6.1405,61.009
13838,13838_SGRA_TABLE_RESULTS.txt,1,56141.0172883562,56141.0524231841,3035.6639999999998,0.057,0.0043,0.1415,0.0205,17.8455,18.93,5.8786,6.2359,7.3463,7.7928,173.0
20446,20446_SGRA_TABLE_RESULTS.txt,1,58685.0777559162,58685.0882939269,910.4832,0.0278,0.0055,0.0369,0.0116,1.7213,5.8252,1.8905,6.3979,2.3625,7.9953,25.3211
13854,13854_SGRA_TABLE_RESULTS.txt,1,56006.4868983093,56006.4946421282,669.0816,0.0552,0.009,0.0582,0.0135,3.667,8.6751,5.4807,12.9657,6.8491,16.2028,36.9398
13854,13854_SGRA_TABLE_RESULTS.txt,2,56006.5288187797,56006.5381451058,805.7664,0.0578,0.0084,0.0663,0.0143,4.658,9.8155,5.7809,12.1815,7.2242,15.2229,46.5386
13854,13854_SGRA_TABLE_RESULTS.txt,3,56006.5856100532,56006.5968083155,967.5072,0.0545,0.0075,0.0703,0.0147,5.2227,10.4587,5.3981,10.81,6.7458,13.5089,52.7376
