obs_id,filename,flare_number,start_mjd,end_mjd,duration_s,rate_mean,rate_mean_err,rate_max,rate_max_err,energy_1e37erg,energy_err,luminosity_1e34,luminosity_err,flux_1e_minus12,flux_err,fluence_ct,fluence_err,hardness_ratio,hardness_ratio_err,Shape
18732,18732_SGRA_TABLE_RESULTS.txt,1,57587.6279846369,57587.6576560533,2563.5744,0.0222,0.0029,0.0445,0.0127,3.7091,0.0569,1.4468,0.0222,1.8081,0.0279,56.9992,0.1653,1.0357142857142900,0.2744096499335920,2
18731,18731_SGRA_TABLE_RESULTS.txt,1,57581.9520631348,57581.9625245837,903.8304,0.0354,0.0063,0.064,0.0152,2.2764,0.0212,2.5186,0.0235,3.1474,0.0298,31.9986,0.2016,1.4615384615384600,0.526061793393914,1
18055,18055_SGRA_TABLE_RESULTS.txt,2,57431.6501269879,57431.6753327827,2177.7984,0.0827,0.0062,0.131,0.0214,13.6902,0.1599,6.2863,0.0734,7.8558,0.0926,180.0015,1.1160,1.368421052631580,0.20650593307128800,2
18055,18055_SGRA_TABLE_RESULTS.txt,1,57431.506776851,57431.5521702619,3922.0416,0.0423,0.0033,0.1187,0.0205,11.3374,0.288,2.8907,0.0734,3.6124,0.0919,166.0,0.5478,1.1012658227848100,0.17114847485679400,2
16966,16966_SGRA_TABLE_RESULTS.txt,1,57156.5078461703,57156.5418728009,2939.8464,0.0558,0.0044,0.1427,0.0224,12.5015,0.1834,4.2524,0.0624,5.3141,0.0784,164.0,0.7216,1.411764705882350,0.22376603756712400,2
16963,16963_SGRA_TABLE_RESULTS.txt,1,57066.2491718816,57066.2592286646,868.9248,0.045,0.0073,0.0585,0.0147,2.9763,0.0398,3.4253,0.0458,4.2805,0.0576,39.0701,0.2852,2.3333333333333300,0.8050764858994130,1
16218,16218_SGRA_TABLE_RESULTS.txt,1,56950.5521584909,56950.6266658518,6437.4048,0.126,0.0044,0.6327,0.0436,65.7471,0.3163,10.2133,0.0491,12.7632,0.0647,811.0,3.5684,1.5108359133126900,0.1083718668191050,3
16217,16217_SGRA_TABLE_RESULTS.txt,1,56899.4898996371,56899.5475196609,4978.3680000000000,0.0174,0.0019,0.0388,0.0122,5.5473,0.2038,1.1143,0.0409,1.3925,0.0512,86.7345,0.1648,1.1363636363636400,0.23489291324177800,2
16508,16508_SGRA_TABLE_RESULTS.txt,1,56710.0215563601,56710.0467113822,2173.392,0.0209,0.0032,0.0396,0.0122,3.0366,0.066,1.3972,0.0304,1.746,0.0381,45.3804,0.1452,2.769230769230770,0.8960541631330620,1
15045,15045_SGRA_TABLE_RESULTS.txt,2,56593.8274951275,56593.8384486763,946.4256,0.0279,0.0057,0.0409,0.0127,1.8173,0.0402,1.9202,0.0425,2.3996,0.0533,26.4448,0.1507,1.6363636363636400,0.6262478152222360,1
15045,15045_SGRA_TABLE_RESULTS.txt,1,56593.6715066504,56593.6981197756,2299.3632,0.0295,0.0037,0.0411,0.0127,4.7133,0.0977,2.0498,0.0425,2.5616,0.0533,67.7888,0.2508,1.1764705882352900,0.27442740565949300,1
