obs_id,filename,flare_number,start_mjd,end_mjd,duration_s,rate_mean,rate_mean_err,rate_max,rate_max_err,energy_1e37erg,energy_err,luminosity_1e34,luminosity_err,flux_1e_minus12,flux_err,fluence_ct,Shape,hardness_ratio,hardness_ratio_err,median_rate,median_rate_err,snr
14432,14432_SGRA_TABLE_RESULTS.txt,2,56139.3783476651,56139.420952753,3681.072,0.0513,0.0037,0.1142,0.0185,19.7131,19.802,5.3553,5.3794,6.6923,6.7225,189.0,2,1.7384615384615400,0.1913657404265780,0.05717177168330980,0.00918315798395897,10.44839397597670
15042,15042_SGRA_TABLE_RESULTS.txt,1,56516.357766536,56516.4875383058,11212.3008,0.0159,0.0013,0.0486,0.014,10.8672,18.6514,0.9692,1.6635,1.2112,2.0788,178.7952,1,0.9736842105263160,0.1298361029034120,0.013031650301494200,0.002524256982240550,2.710954992867990
13842,13842_SGRA_TABLE_RESULTS.txt,3,56131.498799817,56131.5874654235,7660.7424,0.0218,0.0017,0.0426,0.0117,13.7684,18.9114,1.7973,2.4686,2.246,3.0849,167.0007,2,1.8588235294117600,0.1768024561132730,0.02275579564050810,0.002500868742135900,2.8230975999704700
18055,18055_SGRA_TABLE_RESULTS.txt,1,57431.506776851,57431.5521702619,3922.0416,0.0423,0.0033,0.133,0.0205,7.694,15.5038,1.9617,3.953,2.4515,4.9399,166.0,2,1.1012658227848100,0.1711484748567940,0.04288551446608040,0.011906034242624300,2.0303772674130000
13838,13838_SGRA_TABLE_RESULTS.txt,1,56141.0172883562,56141.0524958884,3041.9712,0.0539,0.0042,0.1439,0.0205,16.8961,18.4339,5.5543,6.0599,6.9411,7.5728,164.0,2,1.675,0.193231833988778,0.04430891617942740,0.015821345793396300,10.389979819222900
16966,16966_SGRA_TABLE_RESULTS.txt,1,57156.5078461703,57156.5418728009,2939.8464,0.0558,0.0044,0.1427,0.0224,12.5015,15.108,4.2524,5.139,5.3141,6.4221,164.0,2,1.411764705882350,0.2237660375671240,0.039728434472518300,0.017841739121694800,12.643869040389600
3393,03393_SGRA_TABLE_RESULTS.txt,2,52423.2419681175,52423.3009367529,5094.9216,0.031,0.0025,0.1007,0.0162,11.2095,14.7384,2.2001,2.8928,2.7494,3.615,158.001,2,2.0384615384615400,0.3451250325898770,0.03313111699594360,0.005901851505512830,1.5453297963593400
10556,10556_SGRA_TABLE_RESULTS.txt,3,54969.9654679711,54969.9855184027,1732.32,0.0906,0.0072,0.1785,0.0194,12.4492,14.5893,7.1865,8.4218,8.9807,10.5245,156.9966,1,2.5681818181818200,0.456362586841505,0.13463649098343800,0.01864627506134200,14.038832443814500
6363,06363_SGRA_TABLE_RESULTS.txt,1,53933.2490317925,53933.280367879,2707.4304,0.0558,0.0045,0.1378,0.0179,11.6636,14.3651,4.308,5.3058,5.3836,6.6305,151.0,1,2.5952380952381000,0.4713329342511900,0.06919233000617160,0.015375222743213000,15.118377440011400
26760,26760_SGRA_TABLE_RESULTS.txt,1,60054.4141706355,60054.4676307197,4618.944,0.031,0.0026,0.0437,0.0125,9.8237,14.2345,2.1268,3.0818,2.6578,3.8512,142.9998,2,1.042857142857140,0.1744545853004770,0.03625347515063850,0.0029200884074915300,6.2131734116865500
21454,21454_SGRA_TABLE_RESULTS.txt,1,58572.2499136315,58572.2652645892,1326.3264,0.1056,0.0089,0.2176,0.0273,11.0437,13.7955,8.3265,10.4013,10.4054,12.9981,140.0,2,1.6923076923076900,0.2960058801959940,0.10091738994074100,0.04773032580681670,3.815449906228480
13849,13849_SGRA_TABLE_RESULTS.txt,1,56060.1421631247,56060.1703578731,2436.048,0.0546,0.0047,0.0768,0.0155,13.5212,16.5736,5.5505,6.8035,6.9363,8.5021,133.0012,2,1.8588235294117600,0.2500364312962640,0.06328881374667510,0.007009641634810510,9.3862188483133
22592,22592_SGRA_TABLE_RESULTS.txt,1,59357.2033116202,59357.2601579368,4911.4944,0.0259,0.0023,0.0849,0.0171,8.1418,13.8997,1.6577,2.83,2.0716,3.5366,127.0,2,1.1896551724137900,0.2119260851003080,0.024446475003061400,0.006358319017600810,5.485568572131390
13842,13842_SGRA_TABLE_RESULTS.txt,1,56130.1918448833,56130.2294147132,3246.048,0.0379,0.0034,0.0613,0.0139,11.9905,15.9982,3.6939,4.9285,4.6161,6.159,123.0006,1,1.2831858407079600,0.1610186528660840,0.04631352834523320,0.0059668799182382000,5.532391612666430
22595,22595_SGRA_TABLE_RESULTS.txt,2,59386.0852738163,59386.1159454584,2650.0608,0.0457,0.0042,0.0892,0.0174,7.9696,13.4939,3.0073,5.0919,3.7582,6.3632,121.0014,2,1.2407407407407400,0.226902586639298,0.040646386044629900,0.009071546652903920,0.9025133913064130
22937,22937_SGRA_TABLE_RESULTS.txt,1,59082.237694658,59082.314795912,6658.416,0.0168,0.0016,0.0371,0.0107,6.8447,12.8263,1.028,1.9263,1.2846,2.4073,112.0,2,1.3829787234042600,0.2648005621576410,0.014022765080628600,0.0025784561824963800,4.511126475475450
4684,04684_SGRA_TABLE_RESULTS.txt,1,53193.1433966282,53193.1627183719,1669.4208,0.0665,0.0063,0.134,0.0179,8.5037,12.2821,5.0938,7.3571,6.3655,9.1939,111.0015,2,1.9210526315789500,0.3842797721533010,0.08435068566983860,0.013575861518912100,16.33842887459510
5953,05953_SGRA_TABLE_RESULTS.txt,1,53581.926964679,53581.9555373808,2468.7072,0.0421,0.0041,0.0888,0.0155,7.704,11.909,3.1207,4.824,3.8998,6.0284,104.0011,2,1.3111111111111100,0.2594919590614670,0.048299154248896300,0.009439278830371190,10.665928653442600
9173,09173_SGRA_TABLE_RESULTS.txt,1,54673.90630603,54674.0419969663,11723.7024,0.0086,0.0009,0.0299,0.0095,4.955,13.3173,0.4227,1.1359,0.5282,1.4195,101.0,1,1.4634146341463400,0.2965244622648590,0.007011694614560690,0.0013095847472769100,2.467995541660920
3663,03663_SGRA_TABLE_RESULTS.txt,1,52418.8011211186,52418.8559271925,4735.2384,0.0213,0.0021,0.0472,0.0117,6.2563,11.9793,1.3212,2.5298,1.6511,3.1614,100.9999,2,1.7297297297297300,0.3572301350609890,0.02239294760820310,0.003215436850857780,5.030560156408730
14427,14427_SGRA_TABLE_RESULTS.txt,1,56054.1011198334,56054.1589818384,4999.2768,0.0198,0.002,0.0348,0.0107,8.2269,14.6692,1.6456,2.9343,2.0565,3.6668,99.0,1,1.4573643410852700,0.1666187953828230,0.02064140910406980,0.002797518779398920,3.86517964857847
