obs_id,obs_date_iso,exposure_ks,qcr_1e3_cts,qcr_err,num_flares,leak_frac,q_mag
14702,,,,,,0.013498738973713805,0.5391857814674033
14703,,,,,,0.015272612634922208,0.46233675755154546
14943,,,,,,0.0209350604900191,0.2340281763233179
14944,,,,,,0.019064303133933678,0.25495263103449706
14945,,,,,,0.012052369586904728,0.2751106752981659
14946,,,,,,0.016307731546020315,0.40465382049115484
15041,,,,,,0.015518132581429976,0.3627111666004998
15042,,,,,,0.014862378830173254,0.33862565444179527
15043,,,,,,0.015693817973636826,0.28028677130169727
15044,,,,,,0.017122025002909484,0.25841792984108114
15045,,,,,,0.01333411100021931,0.23294919227619085
16210,,,,,,0.01696651498452751,0.10106921363472439
16211,,,,,,0.012684785104956499,0.1441423802707166
16212,,,,,,0.014925412496581985,0.1314211021375872
16213,,,,,,0.015087224080276185,0.12556853451403782
16214,,,,,,0.02034813565882916,0.11149984093849825
16215,,,,,,0.017912970444408646,0.08691686021357337
16216,,,,,,0.01829972491083351,0.08056644084987283
16217,,,,,,0.02072314799351796,0.07685000677417016
16218,,,,,,0.018153950523176424,0.06868805268142907
16508,,,,,,0.013804425537610663,0.15460847158645818
16597,,,,,,0.01363091264673166,0.08787190899699322
16963,,,,,,0.02572992475121927,0.051249937586045013
16964,,,,,,0.032397819102279006,0.024953858098073232
16965,,,,,,0.03174056431352644,0.03119535854850106
16966,,,,,,0.026814475599815788,0.03941816079855089
18057,,,,,,0.05573287307328058,0.012419009635322678
18058,,,,,,0.016404347766272514,0.01249746777928589
