obs_id,filename,flare_number,start_mjd,end_mjd,duration_s,rate_mean,rate_mean_err,rate_max,rate_max_err,energy_1e37erg,energy_err,luminosity_1e34,luminosity_err,flux_1e_minus12,flux_err,fluence_ct
13854,13854_SGRA_TABLE_RESULTS.txt,3,56006.5856100532,56006.5968083155,967.5072,0.0517,0.0073,0.0677,0.0147,4.9723,10.2546,5.1393,10.599,6.4224,13.2453,49.9988
13854,13854_SGRA_TABLE_RESULTS.txt,4,56006.6828494131,56006.6875037033,402.10560000000004,0.0995,0.0157,0.1057,0.0179,4.3314,9.1001,10.7718,22.6312,13.4612,28.2815,39.9975
19703,19703_SGRA_TABLE_RESULTS.txt,1,57949.9606547532,57950.0140103535,4609.9584,0.0132,0.0017,0.0257,0.0097,3.3571,9.2383,0.7282,2.004,0.9101,2.5043,61.0005
19703,19703_SGRA_TABLE_RESULTS.txt,2,57950.5518844129,57950.5658856855,1209.6864,0.0331,0.0052,0.0483,0.0133,2.9011,7.3689,2.3982,6.0916,2.9969,7.6125,39.9992
13839,13839_SGRA_TABLE_RESULTS.txt,1,56132.3935211684,56132.4034276333,855.8783999999999,0.0479,0.0075,0.0571,0.0135,4.1623,9.1969,4.8632,10.7456,6.0774,13.4285,40.9981
13839,13839_SGRA_TABLE_RESULTS.txt,2,56134.0058681187,56134.0415119547,3079.6416000000004,0.0857,0.0053,0.1621,0.0216,28.7047,23.3476,9.3208,7.5813,11.6479,9.4741,264.0012
20041,20041_SGRA_TABLE_RESULTS.txt,1,57854.3545234889,57854.3809904317,2286.7488000000003,0.1006,0.0066,0.172,0.0244,18.0087,17.7247,7.8752,7.7511,9.8414,9.6863,230.0
13852,13852_SGRA_TABLE_RESULTS.txt,1,56143.3215321682,56143.3356009205,1215.5616,0.0494,0.0064,0.0723,0.0151,6.0534,11.1322,4.98,9.1581,6.2233,11.4446,60.0011
13852,13852_SGRA_TABLE_RESULTS.txt,2,56144.3340669426,56144.3540238093,1724.2848,0.0244,0.0038,0.0277,0.0096,3.5059,9.3315,2.0333,5.4118,2.5409,6.763,42.0003
14468,14468_SGRA_TABLE_RESULTS.txt,1,56230.2939987989,56230.3345487205,3503.5200000000004,0.0243,0.0026,0.0471,0.0122,7.5848,13.2895,2.1649,3.7932,2.7054,4.7402,85.0002
14468,14468_SGRA_TABLE_RESULTS.txt,2,56231.5642457846,56231.5894560817,2178.144,0.0303,0.0037,0.0551,0.0131,6.2658,11.687,2.8767,5.3656,3.5949,6.7052,65.9992
22594,22594_SGRA_TABLE_RESULTS.txt,1,59385.1543528423,59385.1877394349,2884.5504,0.0908,0.0056,0.2072,0.0268,21.2136,18.9289,7.3542,6.5622,9.1903,8.2005,262.0
14466,14466_SGRA_TABLE_RESULTS.txt,1,56128.5554096137,56128.5598804975,386.2944,0.0699,0.0135,0.0807,0.0158,2.8617,7.4635,7.4082,19.3207,9.2577,24.1444,27.0007
18055,18055_SGRA_TABLE_RESULTS.txt,1,57431.506776851,57431.5117414382,428.976,0.0974,0.0142,0.1036,0.0168,2.8269,7.0878,6.5899,16.5227,8.2352,20.6479,41.7647
18055,18055_SGRA_TABLE_RESULTS.txt,2,57431.5397013705,57431.5521702619,1077.3216,0.0863,0.0084,0.1334,0.0205,6.0951,10.5242,5.6576,9.7689,7.0702,12.2078,92.9588
18055,18055_SGRA_TABLE_RESULTS.txt,3,57431.6501269879,57431.6753327827,2177.7984,0.0938,0.0062,0.1454,0.0214,13.6902,15.7593,6.2863,7.2364,7.8558,9.0431,204.1747
13845,13845_SGRA_TABLE_RESULTS.txt,1,56067.8692229492,56067.8916544004,1938.0384,0.0593,0.0055,0.1082,0.0179,12.0901,15.4095,6.2383,7.9511,7.7958,9.9362,114.9977
13842,13842_SGRA_TABLE_RESULTS.txt,1,56130.1918448833,56130.2294147132,3246.048,0.0379,0.0034,0.0614,0.0139,11.9905,15.9982,3.6939,4.9285,4.6161,6.159,123.0006
13842,13842_SGRA_TABLE_RESULTS.txt,2,56130.913283464,56130.9239888886,924.9119999999999,0.0551,0.0077,0.0769,0.0155,5.2964,10.2625,5.7264,11.0957,7.1561,13.8659,50.998
13842,13842_SGRA_TABLE_RESULTS.txt,3,56131.498799817,56131.5874654235,7660.742399999999,0.0218,0.0017,0.0426,0.0117,13.7684,18.9114,1.7973,2.4686,2.246,3.0849,167.0007
3392,03392_SGRA_TABLE_RESULTS.txt,1,52420.1753393984,52420.2104408491,3032.7264,0.0218,0.0027,0.0457,0.0117,4.357,9.5075,1.4367,3.135,1.7953,3.9177,65.9992
3392,03392_SGRA_TABLE_RESULTS.txt,2,52420.568998866,52420.6309489083,5352.48,0.0123,0.0015,0.0333,0.0101,3.4391,9.6309,0.6425,1.7993,0.8029,2.2486,66.0
3392,03392_SGRA_TABLE_RESULTS.txt,3,52421.2367785838,52421.2489758648,1053.8208,0.0275,0.0051,0.0294,0.0096,2.0247,6.2739,1.9213,5.9535,2.401,7.4399,28.9993
14432,14432_SGRA_TABLE_RESULTS.txt,1,56139.3783476651,56139.4098288979,2719.9584,0.0618,0.0048,0.1136,0.0185,17.9068,18.6462,6.5835,6.8553,8.2272,8.5669,167.9988
22592,22592_SGRA_TABLE_RESULTS.txt,1,59357.2159288704,59357.2253185433,811.296,0.0604,0.0086,0.0853,0.0171,3.7044,8.1771,4.5661,10.079,5.7061,12.5954,49.0017
22595,22595_SGRA_TABLE_RESULTS.txt,1,59386.0150757433,59386.0259079556,935.8847999999999,0.093,0.01,0.1408,0.0217,6.5417,10.9534,6.9898,11.7038,8.735,14.6259,86.9983
22595,22595_SGRA_TABLE_RESULTS.txt,2,59386.0852738163,59386.1159454584,2650.0608,0.0457,0.0042,0.0888,0.0174,7.9696,13.4939,3.0073,5.0919,3.7582,6.3632,121.0014
22595,22595_SGRA_TABLE_RESULTS.txt,3,59386.1349390484,59386.1857061669,4386.268800000001,0.0962,0.0047,0.2606,0.0287,31.8599,24.9252,7.2636,5.6826,9.077,7.1013,422.0
15570,15570_SGRA_TABLE_RESULTS.txt,1,56225.2301107415,56225.2583015752,2435.7024,0.032,0.0036,0.0761,0.0155,7.4546,12.7284,3.0606,5.2258,3.8247,6.5305,78.0
22937,22937_SGRA_TABLE_RESULTS.txt,1,59082.237694658,59082.314795912,6658.415999999999,0.0168,0.0016,0.0374,0.0107,6.8447,12.8263,1.028,1.9263,1.2846,2.4073,112.0
16963,16963_SGRA_TABLE_RESULTS.txt,1,57066.2491718816,57066.2592286646,868.9248,0.045,0.0073,0.0586,0.0147,2.9763,7.3762,3.4253,8.4888,4.2805,10.6082,39.0718
13843,13843_SGRA_TABLE_RESULTS.txt,1,56223.3909474028,56223.4217373854,2660.2560000000003,0.0695,0.0051,0.1312,0.0197,19.7462,19.5682,7.4227,7.3558,9.2759,9.1923,185.0001
3393,03393_SGRA_TABLE_RESULTS.txt,1,52422.637211519,52422.6752940158,3290.3712,0.0802,0.0049,0.3538,0.0224,20.8762,18.9357,6.3446,5.7549,7.9287,7.1917,264.0
3393,03393_SGRA_TABLE_RESULTS.txt,2,52423.2419681175,52423.3009367529,5094.9216,0.031,0.0025,0.1004,0.0162,11.2095,14.7384,2.2001,2.8928,2.7494,3.615,158.001
3393,03393_SGRA_TABLE_RESULTS.txt,3,52423.7816468181,52423.7936077478,1033.4304,0.0571,0.0074,0.0784,0.0147,4.543,8.9415,4.3961,8.6523,5.4936,10.8125,59.0003
21456,21456_SGRA_TABLE_RESULTS.txt,1,58574.4761701491,58574.4931112524,1463.7024000000001,0.0314,0.0046,0.0526,0.0138,3.2578,7.9265,2.2257,5.4154,2.7814,6.7674,45.9997
16218,16218_SGRA_TABLE_RESULTS.txt,1,56950.5521584909,56950.5905873915,3320.1792000000005,0.2205,0.0081,0.6333,0.0436,60.3268,31.5471,18.1698,9.5016,22.7062,11.8739,732.0
16218,16218_SGRA_TABLE_RESULTS.txt,2,56950.6158680889,56950.6266658518,932.9472000000001,0.0439,0.0069,0.0583,0.0147,3.078,7.5639,3.2992,8.1075,4.123,10.1317,40.918
25297,25297_SGRA_TABLE_RESULTS.txt,1,59658.3374265859,59658.413494944,6572.2752,0.0145,0.0015,0.0401,0.012,5.5519,12.4052,0.8447,1.8875,1.0557,2.3588,94.9996
16217,16217_SGRA_TABLE_RESULTS.txt,1,56899.4898996371,56899.5475196609,4978.3679999999995,0.0174,0.0019,0.0389,0.0122,5.5473,11.622,1.1143,2.3345,1.3925,2.9173,86.7831
23739,23739_SGRA_TABLE_RESULTS.txt,1,59425.0273329391,59425.0477052716,1760.1408000000001,0.1875,0.0103,0.4975,0.0375,26.959,21.1587,15.3164,12.021,19.1404,15.0224,330.0
15045,15045_SGRA_TABLE_RESULTS.txt,1,56593.6715066504,56593.6977471714,2267.2224,0.0268,0.0036,0.0372,0.0122,4.4619,9.593,1.968,4.2312,2.4593,5.2875,60.8229
5953,05953_SGRA_TABLE_RESULTS.txt,1,53581.926964679,53581.9555373808,2468.7072000000003,0.0421,0.0041,0.0886,0.0155,7.704,11.909,3.1207,4.824,3.8998,6.0284,104.0011
15042,15042_SGRA_TABLE_RESULTS.txt,1,56516.357766536,56516.4875383058,11212.300799999999,0.016,0.0013,0.0481,0.014,10.8672,18.6514,0.9692,1.6635,1.2112,2.0788,179.2172
1561,01561_SGRA_TABLE_RESULTS.txt,1,51844.1581720461,51844.2795123523,10483.8624,0.0643,0.0025,0.3513,0.0226,52.1277,31.0164,4.9722,2.9585,6.2136,3.6971,674.0
18731,18731_SGRA_TABLE_RESULTS.txt,1,57581.9520631348,57581.9625245837,903.8303999999999,0.0354,0.0063,0.0637,0.0152,2.2764,6.5856,2.5186,7.2864,3.1474,9.1055,31.9986
3663,03663_SGRA_TABLE_RESULTS.txt,1,52418.8011211186,52418.8559271925,4735.2384,0.0213,0.0021,0.0469,0.0117,6.2563,11.9793,1.3212,2.5298,1.6511,3.1614,100.9999
14392,14392_SGRA_TABLE_RESULTS.txt,1,55966.5986448471,55966.6639426611,5641.6608,0.1319,0.0048,0.3705,0.0291,82.8194,39.4012,14.68,6.984,18.3451,8.7277,744.0
15043,15043_SGRA_TABLE_RESULTS.txt,1,56549.0852479914,56549.1493475096,5538.153599999999,0.5013,0.0095,1.8711,0.0622,230.7602,61.3648,41.6674,11.0804,52.0704,13.847,2776.0
5952,05952_SGRA_TABLE_RESULTS.txt,1,53581.0891398826,53581.155737017,5753.9808,0.0169,0.0017,0.041,0.0112,5.7715,11.9011,1.0031,2.0683,1.2535,2.5847,96.9998
20751,20751_SGRA_TABLE_RESULTS.txt,1,58715.156961405,58715.2262554391,5986.9151999999995,0.1928,0.0057,0.8985,0.0493,94.7433,39.6902,15.8251,6.6295,19.7761,8.2847,1154.0
14427,14427_SGRA_TABLE_RESULTS.txt,1,56054.1011198334,56054.1589818384,4999.2768,0.0198,0.002,0.0352,0.0107,8.2269,14.6692,1.6456,2.9343,2.0565,3.6668,99.0
13851,13851_SGRA_TABLE_RESULTS.txt,1,56217.8122561849,56217.8557501996,3757.8815999999997,0.1003,0.0052,0.2209,0.0248,41.9234,27.9241,11.1561,7.4308,13.9415,9.2861,377.0
