obs_id,filename,flare_number,start_mjd,end_mjd,duration_s,rate_mean,rate_mean_err,rate_max,rate_max_err,energy_1e37erg,energy_err,luminosity_1e34,luminosity_err,flux_1e_minus12,flux_err,fluence_ct
16508,16508_SGRA_TABLE_RESULTS.txt,1,56710.0215563601,56710.0467113822,2173.392,0.0209,0.0032,0.0396,0.0122,3.0366,8.1922,1.3972,3.7693,1.746,4.7104,45.3804
16966,16966_SGRA_TABLE_RESULTS.txt,1,57156.5078461703,57156.5418728009,2939.8464,0.0558,0.0044,0.1427,0.0224,12.5015,0.1834,4.2524,0.0624,5.3141,0.0784,164.0
28231,28231_SGRA_TABLE_RESULTS.txt,1,60408.5664414409,60408.5768560903,899.8560000000001,0.0345,0.0062,0.0415,0.012,2.153,6.4999,2.3927,7.2233,2.99,9.0267,31.001
14462,14462_SGRA_TABLE_RESULTS.txt,1,56207.1782699449,56207.1892292311,946.8576,0.0317,0.0058,0.0389,0.0112,2.8246,7.8725,2.9832,8.3143,3.728,10.3901,29.9992
14462,14462_SGRA_TABLE_RESULTS.txt,2,56208.1855341209,56208.2160148706,2633.5584,0.0258,0.0031,0.0537,0.0131,6.0369,11.8841,2.2923,4.5126,2.8646,5.6392,68.0006
26759,26759_SGRA_TABLE_RESULTS.txt,1,60052.4355408632,60052.4594135912,2062.6272,0.0165,0.0028,0.0297,0.0102,1.9867,6.932,0.9632,3.3608,1.2037,4.1998,34.0004
13016,13016_SGRA_TABLE_RESULTS.txt,1,55649.448992503,55649.4726799441,2046.5568,0.0166,0.0028,0.022,0.0083,2.2067,6.8801,1.0782,3.3618,1.3474,4.2012,33.9994
14465,14465_SGRA_TABLE_RESULTS.txt,1,56126.9811903736,56127.0330656925,4482.0,0.019,0.0021,0.0398,0.0112,6.9439,13.5994,1.5493,3.0342,1.9361,3.7918,84.9995
14465,14465_SGRA_TABLE_RESULTS.txt,2,56127.1819307434,56127.2080320547,2255.1264,0.0182,0.0028,0.0325,0.0101,3.2855,9.3261,1.4569,4.1355,1.8206,5.168,40.9995
14439,14439_SGRA_TABLE_RESULTS.txt,1,56147.1366330265,56147.1509915782,1240.6176,0.0274,0.0047,0.0348,0.0107,3.071,8.3833,2.4754,6.7574,3.0934,8.4445,34.0011
