ra	dec	err_ellipse_r0	conf_flag	extent_flag	sat_src_flag	flux_aper_b	flux_aper_lolim_b	flux_aper_hilim_b	flux_aper_w	flux_aper_lolim_w	flux_aper_hilim_w	significance	hard_hm	hard_hm_lolim	hard_hm_hilim	hard_ms	hard_ms_lolim	hard_ms_hilim	var_intra_index_b	var_intra_index_w	var_inter_index_b	var_inter_index_w
266.368187629642	-29.0089726376508	0.37707322655662	F	F	F							4.84848484848485	0.99937539038101	0.91880074953154	1				0	-2147483648	-2147483648	-2147483648
266.368939417021	-28.9999242257949	1.27264925900092	F	F	F							8.11012908038429	0.8157401623985	0.72267332916927	0.89756402248595				-2147483648	-2147483648	-2147483648	-2147483648
266.368944168216	-29.0033986330366	0.390923849787224	F	F	F							5.24999999999964	0.81948782011243	0.72517176764522	0.90755777638976				-2147483648	-2147483648	-2147483648	-2147483648
266.369171094892	-29.0103471004154	0.401557111635589	F	F	F							2.08000000000001	0.86196127420362	0.683947532792	0.97001873828857				-2147483648	-2147483648	-2147483648	-2147483648
266.369303474597	-28.9986941079831	0.347394610896334	T	F	F							8.255913694582	-0.99937539038101	-1	-0.42660836976889				-2147483648	-2147483648	-2147483648	-2147483648
266.369328232025	-29.0016268158214	0.347122567934178	T	F	F							3.238095238095	0.90068707058089	0.79013116801999	0.97751405371643				-2147483648	-2147483648	-2147483648	-2147483648
266.369746917424	-29.0118756506526	0.330518968991392	T	F	F							6	0.99937539038101	0.9525296689569	1				-2147483648	-2147483648	-2147483648	-2147483648
266.369860434277	-28.9984624311401	0.840943482213561	T	F	F							8.62963057153841	0.94815740162398	0.89756402248595	0.98500936914428				-2147483648	-2147483648	-2147483648	-2147483648
266.369936912331	-29.0060949127441	0.61654957499988	F	F	F							2.97435897435894	0.2948157401624	-0.16552154903186	0.62523422860712				-2147483648	-2147483648	-2147483648	-2147483648
266.370082119539	-29.0014837854482	0.412397311278851	T	F	F							3.78378378378409	0.90193628981886	0.78513429106808	0.98001249219238				-2147483648	-2147483648	-2147483648	-2147483648
266.370119760774	-29.0180060122543	0.358963238038605	T	F	F							4.7222222222223	0.78326046221112	0.66146158650843	0.88382261086821				-2147483648	-2147483648	-2147483648	-2147483648
266.370213704334	-29.0039459988311	0.382298217244561	T	F	F							4.51428571428579	0.99937539038101	0.91255465334166	1				-2147483648	-2147483648	-2147483648	-2147483648
266.370217709698	-29.0110511898787	0.49339270973038	T	F	F							3.00000000000002	0.83073079325422	0.69893816364772	0.93254216114928				-2147483648	-2147483648	-2147483648	-2147483648
266.370325566579	-29.0032236233092	1.01129753282694	T	F	F							4.32432432432406	0.80824484697064	0.71392879450344	0.89506558400999				-2147483648	-2147483648	-2147483648	-2147483648
266.370414245125	-28.9959229634956	0.353085851109081	F	F	F							9.799456020256	0.92816989381636	0.87632729544035	0.96876951905059				-2147483648	-2147483648	-2147483648	-2147483648
266.370460208869	-29.0125336796075	0.365315287109931	T	F	F							6.87790800765576	0.99937539038101	0.97501561524047	1				-2147483648	-2147483648	-2147483648	-2147483648
266.370462750852	-28.9999290916523	0.496475299447253	T	F	F							8.33237848893033	0.83822610868207	0.70768269831355	0.94878201124297				-2147483648	-2147483648	-2147483648	-2147483648
266.370591230325	-29.0087054262346	0.402684763501161	T	F	F							2.92682926829287	0.99937539038101	0.95627732667083	1				-2147483648	-2147483648	-2147483648	-2147483648
266.370683397332	-29.0093362722721	0.375541866202924	T	F	F							3.64102564102549	0.84697064334791	0.74141161773891	0.93504059962523				-2147483648	-2147483648	-2147483648	-2147483648
266.370733500488	-29.0181322792894	0.513857526481118	T	F	F							3.52631578947343	0.82323547782636	0.68644597126796	0.9262960649594				-2147483648	-2147483648	-2147483648	-2147483648
266.370995384569	-28.9983258344995	0.415796496086643	T	F	F							9.232838592797	0.99937539038101	0.44909431605247	1				-2147483648	-2147483648	-2147483648	-2147483648
266.37143965442	-29.0024396031068	0.337770723509247	F	F	F							5.06249999999961	0.87695190505934	0.79512804497189	0.94503435352904				0	-2147483648	-2147483648	-2147483648
266.371596608526	-29.0035068718933	2.76545272316906	F	F	F							3	0.65958775765147	0.28169893816365	0.89631480324797				0	-2147483648	-2147483648	-2147483648
266.37220175137	-29.0019122983803	0.761870059372567	F	F	F							3.94444444444419							-2147483648	-2147483648	-2147483648	-2147483648
266.372301536366	-29.0001237239591	0.368815431808837	F	F	F							8.37671433585402	0.8844472204872	0.80762023735166	0.94628357276702				-2147483648	-2147483648	-2147483648	-2147483648
266.372548255045	-29.0069784516358	0.310094819376674	F	F	F							10.5729270189118	0.99937539038101	0.97626483447845	1				2	-2147483648	-2147483648	-2147483648
266.372804040324	-28.998277477846	0.394950853126024	T	F	F							8.11579839586312	0.99937539038101	0.97751405371643	1				-2147483648	-2147483648	-2147483648	-2147483648
266.372929909463	-28.9986269344091	0.367301082938525	T	F	F							8.34060154857009	-0.99937539038101	-1	-0.22548407245472				-2147483648	-2147483648	-2147483648	-2147483648
266.37300561112	-28.9972015352086	0.398083807507078	F	F	F							8.48180715718903	0.75702685821362	0.62023735165522	0.87008119925047				-2147483648	-2147483648	-2147483648	-2147483648
266.373021847425	-29.0171846852572	0.439359782311906	F	F	F							2.61538461538438	0.79825109306683	0.62148657089319	0.93753903810119				-2147483648	-2147483648	-2147483648	-2147483648
266.373094067283	-29.0205584471377	0.377160902884338	F	F	F							4.22857142857193	0.93066833229232	0.85009369144285	0.98625858838226				-2147483648	-2147483648	-2147483648	-2147483648
