obs_id,filename,flare_number,start_mjd,end_mjd,duration_s,rate_mean,rate_mean_err,rate_max,rate_max_err,energy_1e37erg,energy_err,luminosity_1e34,luminosity_err,flux_1e_minus12,flux_err,fluence_ct
10556,10556_SGRA_TABLE_RESULTS_pileupcorr.txt,3,54969.9662496287,54969.9855184027,1664.8416000000002,,,,,,,,,,,178.4446
10556,10556_SGRA_TABLE_RESULTS_pileupcorr.txt,4,54970.0408161481,54970.0476329314,588.9888,,,,,,,,,,,55.5918
18732,18732_SGRA_TABLE_RESULTS_pileupcorr.txt,1,57587.6279846369,57587.6576560533,2563.5744,,,,,,,,,,,56.2442
4683,04683_SGRA_TABLE_RESULTS_pileupcorr.txt,,,,,,,,,,,,,,,
4684,04684_SGRA_TABLE_RESULTS_pileupcorr.txt,1,53193.1433966282,53193.1634999663,1736.8991999999998,,,,,,,,,,,125.9883
5950,05950_SGRA_TABLE_RESULTS_pileupcorr.txt,,,,,,,,,,,,,,,
11843,11843_SGRA_TABLE_RESULTS_pileupcorr.txt,1,55329.1538426927,55329.1949982424,3555.8784,,,,,,,,,,,434.2315
9169,09169_SGRA_TABLE_RESULTS_pileupcorr.txt,,,,,,,,,,,,,,,
22230,22230_SGRA_TABLE_RESULTS_pileupcorr.txt,1,58682.1350683115,58682.1485208444,1162.3392,,,,,,,,,,,72.8982
5951,05951_SGRA_TABLE_RESULTS_pileupcorr.txt,,,,,,,,,,,,,,,
23665,23665_SGRA_TABLE_RESULTS_pileupcorr.txt,1,59314.3525806787,59314.3741622918,1864.6848,,,,,,,,,,,59.3752
13838,13838_SGRA_TABLE_RESULTS.txt,1,56141.0172883562,56141.0524231841,3035.6639999999998,,,,,,,,,,,162.0
20446,20446_SGRA_TABLE_RESULTS_pileupcorr.txt,1,58685.0777559162,58685.0882939269,910.4832,,,,,,,,,,,25.1375
20040,20040_SGRA_TABLE_RESULTS_pileupcorr.txt,,,,,,,,,,,,,,,
13853,13853_SGRA_TABLE_RESULTS.txt,,,,,,,,,,,,,,,
13854,13854_SGRA_TABLE_RESULTS.txt,1,56006.4868983093,56006.4946421282,669.0816,,,,,,,,,,,35.0008
13854,13854_SGRA_TABLE_RESULTS.txt,2,56006.5288187797,56006.5381451058,805.7664,,,,,,,,,,,43.9985
13854,13854_SGRA_TABLE_RESULTS.txt,3,56006.5856100532,56006.5968083155,967.5072,,,,,,,,,,,49.9988
13854,13854_SGRA_TABLE_RESULTS.txt,4,56006.6828494131,56006.6875037033,402.10560000000004,,,,,,,,,,,39.9975
19703,19703_SGRA_TABLE_RESULTS_pileupcorr.txt,1,57949.9606547532,57950.0140103535,4609.9584,,,,,,,,,,,63.1728
19703,19703_SGRA_TABLE_RESULTS_pileupcorr.txt,2,57950.5536556274,57950.5658856855,1056.672,,,,,,,,,,,37.2595
25300,25300_SGRA_TABLE_RESULTS_pileupcorr.txt,,,,,,,,,,,,,,,
19704,19704_SGRA_TABLE_RESULTS_pileupcorr.txt,,,,,,,,,,,,,,,
20447,20447_SGRA_TABLE_RESULTS_pileupcorr.txt,,,,,,,,,,,,,,,
13839,13839_SGRA_TABLE_RESULTS.txt,1,56132.3935211684,56132.4034276333,855.8783999999999,,,,,,,,,,,42.998
13839,13839_SGRA_TABLE_RESULTS.txt,2,56134.0058681187,56134.0415119547,3079.6416000000004,,,,,,,,,,,264.0012
15568,15568_SGRA_TABLE_RESULTS.txt,,,,,,,,,,,,,,,
13855,13855_SGRA_TABLE_RESULTS.txt,,,,,,,,,,,,,,,
20041,20041_SGRA_TABLE_RESULTS_pileupcorr.txt,1,57854.3545234889,57854.3809904317,2286.7488000000003,,,,,,,,,,,230.0
13852,13852_SGRA_TABLE_RESULTS.txt,1,56143.3215321682,56143.3356009205,1215.5616,,,,,,,,,,,62.0011
13852,13852_SGRA_TABLE_RESULTS.txt,2,56144.3340669426,56144.3540238093,1724.2848,,,,,,,,,,,39.0003
14414,14414_SGRA_TABLE_RESULTS.txt,,,,,,,,,,,,,,,
14413,14413_SGRA_TABLE_RESULTS.txt,,,,,,,,,,,,,,,
14468,14468_SGRA_TABLE_RESULTS.txt,1,56230.2939987989,56230.3345487205,3503.5200000000004,,,,,,,,,,,86.0002
14468,14468_SGRA_TABLE_RESULTS.txt,2,56231.5642457846,56231.5894560817,2178.144,,,,,,,,,,,64.9992
6640,06640_SGRA_TABLE_RESULTS_pileupcorr.txt,,,,,,,,,,,,,,,
22594,22594_SGRA_TABLE_RESULTS_pileupcorr.txt,1,59385.1461599711,59385.1922850757,3985.2,,,,,,,,,,,293.0
14466,14466_SGRA_TABLE_RESULTS.txt,1,56128.5461937825,56128.5603894327,1226.5344,,,,,,,,,,,44.0011
7554,07554_SGRA_TABLE_RESULTS_pileupcorr.txt,,,,,,,,,,,,,,,
14461,14461_SGRA_TABLE_RESULTS.txt,,,,,,,,,,,,,,,
22593,22593_SGRA_TABLE_RESULTS_pileupcorr.txt,,,,,,,,,,,,,,,
18055,18055_SGRA_TABLE_RESULTS.txt,1,57431.506776851,57431.5521702619,3922.0415999999996,,,,,,,,,,,166.0
18055,18055_SGRA_TABLE_RESULTS.txt,2,57431.6501269879,57431.6753327827,2177.7984,,,,,,,,,,,375.4244
13845,13845_SGRA_TABLE_RESULTS.txt,1,56067.8692229492,56068.0313904359,14011.2288,,,,,,,,,,,235.0
13842,13842_SGRA_TABLE_RESULTS.txt,1,56130.1918448833,56130.2294147132,3246.048,,,,,,,,,,,122.0006
13842,13842_SGRA_TABLE_RESULTS.txt,2,56130.913283464,56130.9239888886,924.9119999999999,,,,,,,,,,,50.998
13842,13842_SGRA_TABLE_RESULTS.txt,3,56131.498799817,56131.5874654235,7660.742399999999,,,,,,,,,,,167.0007
3392,03392_SGRA_TABLE_RESULTS_pileupcorr.txt,1,52420.1758120228,52420.2104408491,2991.9456,,,,,,,,,,,67.2137
3392,03392_SGRA_TABLE_RESULTS_pileupcorr.txt,2,52420.568998866,52420.6309489083,5352.48,,,,,,,,,,,67.2694
3392,03392_SGRA_TABLE_RESULTS_pileupcorr.txt,3,52421.2367785838,52421.2489758648,1053.8208,,,,,,,,,,,31.3425
14432,14432_SGRA_TABLE_RESULTS.txt,1,56138.5614005157,56138.6138749833,4533.7536,,,,,,,,,,,60.9995
14432,14432_SGRA_TABLE_RESULTS.txt,2,56139.3750400662,56139.420952753,3966.8832,,,,,,,,,,,197.0
16965,16965_SGRA_TABLE_RESULTS.txt,,,,,,,,,,,,,,,
28232,28232_SGRA_TABLE_RESULTS_pileupcorr.txt,,,,,,,,,,,,,,,
22592,22592_SGRA_TABLE_RESULTS_pileupcorr.txt,1,59357.2033116202,59357.2601579368,4911.4944000000005,,,,,,,,,,,126.0
6646,06646_SGRA_TABLE_RESULTS_pileupcorr.txt,,,,,,,,,,,,,,,
14460,14460_SGRA_TABLE_RESULTS.txt,,,,,,,,,,,,,,,
7555,07555_SGRA_TABLE_RESULTS_pileupcorr.txt,,,,,,,,,,,,,,,
6641,06641_SGRA_TABLE_RESULTS_pileupcorr.txt,,,,,,,,,,,,,,,
22595,22595_SGRA_TABLE_RESULTS_pileupcorr.txt,1,59386.0150757433,59386.0259079556,935.8847999999999,,,,,,,,,,,90.5039
22595,22595_SGRA_TABLE_RESULTS_pileupcorr.txt,2,59386.0852738163,59386.1159454584,2650.0608,,,,,,,,,,,121.639
22595,22595_SGRA_TABLE_RESULTS_pileupcorr.txt,3,59386.1312701681,59386.1857061669,4703.270399999999,,,,,,,,,,,436.0
15570,15570_SGRA_TABLE_RESULTS.txt,1,56225.2301107415,56225.2583015752,2435.7024,,,,,,,,,,,79.0
22937,22937_SGRA_TABLE_RESULTS_pileupcorr.txt,1,59082.237694658,59082.3062533374,5920.3008,,,,,,,,,,,110.0249
16964,16964_SGRA_TABLE_RESULTS.txt,,,,,,,,,,,,,,,
16963,16963_SGRA_TABLE_RESULTS.txt,1,57066.2491718816,57066.2592286646,868.9248,,,,,,,,,,,38.3158
13843,13843_SGRA_TABLE_RESULTS.txt,1,56223.3782249419,56223.4728285995,8173.699199999999,,,,,,,,,,,268.0
22707,22707_SGRA_TABLE_RESULTS_pileupcorr.txt,,,,,,,,,,,,,,,
3393,03393_SGRA_TABLE_RESULTS_pileupcorr.txt,1,52422.637211519,52422.6752940158,3290.3712,,,,,,,,,,,259.0
3393,03393_SGRA_TABLE_RESULTS_pileupcorr.txt,2,52423.2387870099,52423.3009367529,5369.759999999999,,,,,,,,,,,174.0819
3393,03393_SGRA_TABLE_RESULTS_pileupcorr.txt,3,52423.7816468181,52423.7936077478,1033.4304,,,,,,,,,,,66.7515
