obs_id,obs_date,telescope,instrument,exposure_ks,quiescent_rate,quiescent_rate_err
20447,2019-07-26T01:40:35,CHANDRA,ACIS,57.665704,5.486000,0.308000
13839,2012-07-24T07:11:01,CHANDRA,ACIS,176.243375,6.674000,0.220000
15568,2012-10-18T08:52:36,CHANDRA,ACIS,36.062053,6.244000,0.465000
13855,2012-03-22T11:26:42,CHANDRA,ACIS,20.063670,7.127000,0.596000
20041,2017-04-11T03:54:45,CHANDRA,ACIS,34.071579,7.058000,0.657000
13852,2012-08-04T02:44:39,CHANDRA,ACIS,156.557665,7.001000,0.285000
14414,2012-03-23T17:50:41,CHANDRA,ACIS,20.063766,6.479000,0.568000
14413,2012-03-21T06:46:31,CHANDRA,ACIS,14.726595,6.519000,0.665000
14468,2012-10-29T23:37:59,CHANDRA,ACIS,146.051892,5.939000,0.236000
6640,2006-05-03T22:32:27,CHANDRA,ACIS,5.167342,7.042000,1.161000
22594,2021-06-19T23:47:34,CHANDRA,ACIS,20.069813,4.820000,0.622000
14466,2012-07-20T12:45:29,CHANDRA,ACIS,45.084266,7.114000,0.403000
7554,2007-02-11T06:12:13,CHANDRA,ACIS,5.148538,3.712000,0.847000
14461,2012-07-12T05:57:36,CHANDRA,ACIS,50.973939,7.396000,0.381000
22593,2021-05-25T03:23:35,CHANDRA,ACIS,22.704664,4.631000,0.451000
18055,2016-02-13T08:54:55,CHANDRA,ACIS,25.071808,96.367000,0.872000
13845,2012-05-19T10:51:01,CHANDRA,ACIS,135.319179,6.438000,0.230000
13842,2012-07-21T12:00:56,CHANDRA,ACIS,191.747321,6.397000,0.329000
3392,2002-05-25T15:23:50,CHANDRA,ACIS,24.755309,4.734000,0.300000
14432,2012-07-30T13:03:31,CHANDRA,ACIS,74.265313,6.097000,0.304000
16965,2015-08-17T10:40:19,CHANDRA,ACIS,25.067749,5.609000,0.506000
28232,2024-04-09T07:32:09,CHANDRA,ACIS,25.097102,5.266000,0.458000
22592,2021-05-23T01:55:02,CHANDRA,ACIS,21.525021,5.648000,0.774000
6646,2006-10-29T03:23:11,CHANDRA,ACIS,5.166574,7.439000,1.193000
14460,2012-07-09T22:42:02,CHANDRA,ACIS,24.062590,5.266000,0.643000
7555,2007-03-25T22:57:14,CHANDRA,ACIS,5.154917,4.296000,0.910000
6641,2006-06-01T16:15:54,CHANDRA,ACIS,5.132558,9.488000,1.350000
22595,2021-06-20T23:51:43,CHANDRA,ACIS,20.104724,9.973000,1.392000
15570,2012-10-25T03:27:07,CHANDRA,ACIS,68.707021,6.105000,0.319000
22937,2020-08-20T23:30:23,CHANDRA,ACIS,25.801237,4.488000,0.450000
16964,2015-10-21T06:00:45,CHANDRA,ACIS,24.946393,5.973000,0.489000
16963,2015-02-13T00:37:37,CHANDRA,ACIS,25.071793,4.554000,0.563000
13843,2012-10-22T15:57:29,CHANDRA,ACIS,120.667602,6.577000,0.330000
22707,2020-07-02T11:43:11,CHANDRA,ACIS,26.026000,4.566000,0.417000
3393,2002-05-28T05:42:39,CHANDRA,ACIS,106.562530,4.696000,0.309000
13844,2012-07-10T23:19:53,CHANDRA,ACIS,20.064007,6.280000,0.559000
16211,2014-03-14T10:17:59,CHANDRA,ACIS,46.074961,5.647000,0.401000
16216,2014-08-02T03:37:51,CHANDRA,ACIS,47.066154,4.431000,0.350000
21456,2019-04-01T04:25:01,CHANDRA,ACIS,33.072373,4.872000,0.452000
9170,2008-05-06T03:06:45,CHANDRA,ACIS,27.148660,5.125000,0.433000
16218,2014-10-20T08:18:22,CHANDRA,ACIS,40.066239,4.780000,0.589000
14943,2013-10-17T15:37:18,CHANDRA,ACIS,20.068034,4.345000,0.639000
25297,2022-03-20T05:05:20,CHANDRA,ACIS,25.916995,4.427000,0.659000
29496,2024-09-06T19:59:19,CHANDRA,ACIS,27.292100,4.879000,0.423000
14944,2013-09-20T07:02:53,CHANDRA,ACIS,20.068598,3.377000,0.762000
